epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567321873827,2019-09-01T00:11:13.827,0.000,0.045,-0.081,1.001
1567321873848,2019-09-01T00:11:13.848,0.021,0.043,-0.080,1.010
1567321873867,2019-09-01T00:11:13.867,0.040,0.044,-0.082,1.012
1567321873887,2019-09-01T00:11:13.887,0.060,0.046,-0.083,1.006
1567321873906,2019-09-01T00:11:13.906,0.079,0.044,-0.080,1.009
1567321873927,2019-09-01T00:11:13.927,0.100,0.046,-0.080,1.008
1567321873946,2019-09-01T00:11:13.946,0.119,0.044,-0.082,1.008
1567321873966,2019-09-01T00:11:13.966,0.139,0.044,-0.083,1.009
1567321873985,2019-09-01T00:11:13.985,0.158,0.045,-0.082,1.008
1567321874004,2019-09-01T00:11:14.004,0.177,0.045,-0.080,1.008
1567321874025,2019-09-01T00:11:14.025,0.198,0.046,-0.083,1.007
1567321874044,2019-09-01T00:11:14.044,0.217,0.045,-0.083,1.010
1567321874064,2019-09-01T00:11:14.064,0.237,0.045,-0.081,1.008
1567321874083,2019-09-01T00:11:14.083,0.256,0.043,-0.081,1.007
1567321874104,2019-09-01T00:11:14.104,0.277,0.045,-0.083,1.008
1567321874123,2019-09-01T00:11:14.123,0.296,0.046,-0.082,1.010
1567321874143,2019-09-01T00:11:14.143,0.316,0.046,-0.081,1.008
1567321874162,2019-09-01T00:11:14.162,0.335,0.047,-0.082,1.009
1567321874181,2019-09-01T00:11:14.181,0.354,0.044,-0.081,1.011
1567321874202,2019-09-01T00:11:14.202,0.375,0.045,-0.082,1.007
1567321874221,2019-09-01T00:11:14.221,0.394,0.045,-0.082,1.009
1567321874242,2019-09-01T00:11:14.242,0.415,0.045,-0.082,1.012
1567321874261,2019-09-01T00:11:14.261,0.434,0.045,-0.082,1.010
1567321874281,2019-09-01T00:11:14.281,0.454,0.046,-0.081,1.009
1567321874300,2019-09-01T00:11:14.300,0.473,0.045,-0.079,1.008
1567321874321,2019-09-01T00:11:14.321,0.494,0.045,-0.081,1.009
1567321874340,2019-09-01T00:11:14.340,0.513,0.043,-0.086,1.008
1567321874360,2019-09-01T00:11:14.360,0.533,0.044,-0.085,1.009
1567321874379,2019-09-01T00:11:14.379,0.552,0.043,-0.082,1.009
1567321874398,2019-09-01T00:11:14.398,0.571,0.047,-0.081,1.007
1567321874419,2019-09-01T00:11:14.419,0.592,0.048,-0.082,1.009
1567321874438,2019-09-01T00:11:14.438,0.611,0.045,-0.082,1.006
1567321874458,2019-09-01T00:11:14.458,0.631,0.044,-0.082,1.009
1567321874477,2019-09-01T00:11:14.477,0.650,0.048,-0.080,1.009
1567321874498,2019-09-01T00:11:14.498,0.671,0.048,-0.083,1.009
1567321874517,2019-09-01T00:11:14.517,0.690,0.043,-0.082,1.007
1567321874537,2019-09-01T00:11:14.537,0.710,0.038,-0.078,1.006
1567321874556,2019-09-01T00:11:14.556,0.729,0.040,-0.080,1.006
1567321874577,2019-09-01T00:11:14.577,0.750,0.044,-0.083,1.009
1567321874596,2019-09-01T00:11:14.596,0.769,0.048,-0.081,1.009
1567321874615,2019-09-01T00:11:14.615,0.788,0.046,-0.076,1.010
1567321874636,2019-09-01T00:11:14.636,0.809,0.043,-0.080,1.011
1567321874655,2019-09-01T00:11:14.655,0.828,0.046,-0.086,1.010
1567321874675,2019-09-01T00:11:14.675,0.848,0.045,-0.084,1.009
1567321874694,2019-09-01T00:11:14.694,0.867,0.044,-0.079,1.008
1567321874715,2019-09-01T00:11:14.715,0.888,0.046,-0.079,1.010
1567321874734,2019-09-01T00:11:14.734,0.907,0.044,-0.082,1.009
1567321874754,2019-09-01T00:11:14.754,0.927,0.044,-0.084,1.010
1567321874773,2019-09-01T00:11:14.773,0.946,0.042,-0.082,1.008
1567321874794,2019-09-01T00:11:14.794,0.967,0.042,-0.080,1.009
1567321874813,2019-09-01T00:11:14.813,0.986,0.047,-0.082,1.010
1567321874832,2019-09-01T00:11:14.832,1.005,0.047,-0.081,1.011
1567321874852,2019-09-01T00:11:14.852,1.025,0.044,-0.079,1.009
1567321874871,2019-09-01T00:11:14.871,1.044,0.042,-0.083,1.009
1567321874892,2019-09-01T00:11:14.892,1.065,0.043,-0.085,1.010
1567321874911,2019-09-01T00:11:14.911,1.084,0.045,-0.084,1.009
1567321874931,2019-09-01T00:11:14.931,1.104,0.046,-0.078,1.009
1567321874951,2019-09-01T00:11:14.951,1.124,0.047,-0.078,1.010
1567321874971,2019-09-01T00:11:14.971,1.144,0.045,-0.084,1.010
1567321874990,2019-09-01T00:11:14.990,1.163,0.042,-0.084,1.009
1567321875011,2019-09-01T00:11:15.011,1.184,0.042,-0.080,1.012
1567321875030,2019-09-01T00:11:15.030,1.203,0.045,-0.081,1.010
1567321875049,2019-09-01T00:11:15.049,1.222,0.047,-0.080,1.009
1567321875069,2019-09-01T00:11:15.069,1.242,0.048,-0.081,1.010
1567321875088,2019-09-01T00:11:15.088,1.261,0.043,-0.082,1.009
1567321875109,2019-09-01T00:11:15.109,1.282,0.042,-0.084,1.008
1567321875128,2019-09-01T00:11:15.128,1.301,0.044,-0.083,1.009
1567321875148,2019-09-01T00:11:15.148,1.321,0.047,-0.082,1.010
1567321875167,2019-09-01T00:11:15.167,1.340,0.048,-0.078,1.011
1567321875188,2019-09-01T00:11:15.188,1.361,0.045,-0.080,1.010
1567321875207,2019-09-01T00:11:15.207,1.380,0.043,-0.083,1.008
1567321875227,2019-09-01T00:11:15.227,1.400,0.042,-0.084,1.010
1567321875246,2019-09-01T00:11:15.246,1.419,0.044,-0.082,1.011
1567321875265,2019-09-01T00:11:15.265,1.438,0.046,-0.080,1.008
1567321875286,2019-09-01T00:11:15.286,1.459,0.049,-0.081,1.010
1567321875305,2019-09-01T00:11:15.305,1.478,0.044,-0.081,1.010
1567321875326,2019-09-01T00:11:15.326,1.499,0.043,-0.082,1.011
1567321875345,2019-09-01T00:11:15.345,1.518,0.043,-0.083,1.010
1567321875365,2019-09-01T00:11:15.365,1.538,0.045,-0.082,1.009
1567321875384,2019-09-01T00:11:15.384,1.557,0.046,-0.082,1.010
1567321875405,2019-09-01T00:11:15.405,1.578,0.047,-0.080,1.009
1567321875424,2019-09-01T00:11:15.424,1.597,0.045,-0.081,1.008
1567321875443,2019-09-01T00:11:15.443,1.616,0.043,-0.083,1.008
1567321875463,2019-09-01T00:11:15.463,1.636,0.043,-0.081,1.009
1567321875482,2019-09-01T00:11:15.482,1.655,0.046,-0.081,1.011
