epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559681915303,2019-06-04T13:58:35.303,6.772,97653.719
1559681915376,2019-06-04T13:58:35.376,6.845,97649.781
1559681915451,2019-06-04T13:58:35.451,6.920,97657.141
1559681915524,2019-06-04T13:58:35.524,6.993,97657.656
1559681915597,2019-06-04T13:58:35.597,7.066,97656.344
1559681915670,2019-06-04T13:58:35.670,7.139,97655.031
1559681915745,2019-06-04T13:58:35.745,7.214,97662.906
1559681915818,2019-06-04T13:58:35.818,7.287,97658.969
1559681915892,2019-06-04T13:58:35.892,7.361,97651.094
1559681915965,2019-06-04T13:58:35.965,7.434,97660.781
1559681916040,2019-06-04T13:58:36.040,7.509,97655.328
1559681916113,2019-06-04T13:58:36.113,7.582,97657.656
1559681916186,2019-06-04T13:58:36.186,7.655,97657.953
1559681916259,2019-06-04T13:58:36.259,7.728,97657.656
1559681916334,2019-06-04T13:58:36.334,7.803,97656.344
1559681916407,2019-06-04T13:58:36.407,7.876,97658.156
1559681916480,2019-06-04T13:58:36.480,7.949,97660.281
1559681916554,2019-06-04T13:58:36.554,8.023,97658.461
1559681916628,2019-06-04T13:58:36.628,8.097,97654.219
1559681916702,2019-06-04T13:58:36.702,8.171,97657.953
1559681916775,2019-06-04T13:58:36.775,8.244,97660.281
1559681916848,2019-06-04T13:58:36.848,8.317,97662.102
1559681916923,2019-06-04T13:58:36.923,8.392,97660.281
1559681916996,2019-06-04T13:58:36.996,8.465,97651.094
1559681917069,2019-06-04T13:58:37.069,8.538,97659.477
1559681917143,2019-06-04T13:58:37.143,8.612,97657.656
1559681917217,2019-06-04T13:58:37.217,8.686,97651.594
1559681917291,2019-06-04T13:58:37.291,8.760,97655.328
1559681917364,2019-06-04T13:58:37.364,8.833,97653.719
1559681917437,2019-06-04T13:58:37.437,8.906,97654.219
1559681917512,2019-06-04T13:58:37.512,8.981,97655.031
1559681917585,2019-06-04T13:58:37.585,9.054,97661.891
1559681917658,2019-06-04T13:58:37.658,9.127,97657.656
1559681917731,2019-06-04T13:58:37.731,9.200,97650.289
1559681917806,2019-06-04T13:58:37.806,9.275,97651.898
1559681917879,2019-06-04T13:58:37.879,9.348,97656.641
1559681917953,2019-06-04T13:58:37.953,9.422,97656.344
1559681918026,2019-06-04T13:58:38.026,9.495,97657.953
1559681918101,2019-06-04T13:58:38.101,9.570,97652.406
1559681918174,2019-06-04T13:58:38.174,9.643,97656.344
1559681918247,2019-06-04T13:58:38.247,9.716,97660.281
1559681918320,2019-06-04T13:58:38.320,9.789,97657.141
1559681918395,2019-06-04T13:58:38.395,9.864,97653.719
1559681918468,2019-06-04T13:58:38.468,9.937,97657.141
1559681918542,2019-06-04T13:58:38.542,10.011,97653.203
1559681918615,2019-06-04T13:58:38.615,10.084,97657.141
