epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1558463182121,2019-05-21T11.26.22.121,0.000,97565.970
1558463182195,2019-05-21T11.26.22.195,0.074,97568.420
1558463182269,2019-05-21T11.26.22.269,0.148,97564.800
1558463182342,2019-05-21T11.26.22.342,0.221,97571.340
1558463182415,2019-05-21T11.26.22.415,0.294,97569.230
1558463182490,2019-05-21T11.26.22.490,0.369,97568.260
1558463182563,2019-05-21T11.26.22.563,0.442,97572.180
1558463182636,2019-05-21T11.26.22.636,0.515,97569.060
1558463182710,2019-05-21T11.26.22.710,0.589,97569.560
1558463182784,2019-05-21T11.26.22.784,0.663,97568.260
1558463182857,2019-05-21T11.26.22.857,0.736,97566.450
1558463182931,2019-05-21T11.26.22.931,0.810,97575.100
1558463183004,2019-05-21T11.26.23.004,0.883,97569.880
1558463183079,2019-05-21T11.26.23.079,0.958,97571.170
1558463183152,2019-05-21T11.26.23.152,1.031,97570.670
1558463183225,2019-05-21T11.26.23.225,1.104,97571.170
1558463183298,2019-05-21T11.26.23.298,1.177,97575.100
1558463183373,2019-05-21T11.26.23.373,1.252,97567.250
1558463183446,2019-05-21T11.26.23.446,1.325,97569.370
1558463183520,2019-05-21T11.26.23.520,1.399,97568.560
1558463183593,2019-05-21T11.26.23.593,1.472,97568.560
1558463183668,2019-05-21T11.26.23.668,1.547,97567.250
1558463183741,2019-05-21T11.26.23.741,1.620,97569.880
1558463183814,2019-05-21T11.26.23.814,1.693,97575.440
1558463183887,2019-05-21T11.26.23.887,1.766,97576.750
1558463183962,2019-05-21T11.26.23.962,1.841,97580.670
1558463184035,2019-05-21T11.26.24.035,1.914,97573.300
1558463184108,2019-05-21T11.26.24.108,1.987,97569.880
1558463184182,2019-05-21T11.26.24.182,2.061,97574.590
1558463184256,2019-05-21T11.26.24.256,2.135,97574.130
1558463184330,2019-05-21T11.26.24.330,2.209,97578.050
1558463184403,2019-05-21T11.26.24.403,2.282,97573.800
1558463184476,2019-05-21T11.26.24.476,2.355,97574.130
1558463184551,2019-05-21T11.26.24.551,2.430,97573.300
1558463184624,2019-05-21T11.26.24.624,2.503,97577.050
1558463184697,2019-05-21T11.26.24.697,2.576,97574.130
1558463184771,2019-05-21T11.26.24.771,2.650,97575.440
1558463184845,2019-05-21T11.26.24.845,2.724,97574.130
1558463184919,2019-05-21T11.26.24.919,2.798,97571.520
1558463184992,2019-05-21T11.26.24.992,2.871,97572.320
1558463185065,2019-05-21T11.26.25.065,2.944,97573.630
1558463185140,2019-05-21T11.26.25.140,3.019,97576.240
1558463185213,2019-05-21T11.26.25.213,3.092,97566.280
