epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1567348958495,2019-09-01T07:42:38.495,0.000,98246.945
1567348958568,2019-09-01T07:42:38.568,0.073,98246.453
1567348958642,2019-09-01T07:42:38.642,0.147,98248.922
1567348958716,2019-09-01T07:42:38.716,0.221,98246.797
1567348958789,2019-09-01T07:42:38.789,0.294,98240.266
1567348958862,2019-09-01T07:42:38.862,0.367,98245.492
1567348958937,2019-09-01T07:42:38.937,0.442,98245.813
1567348959010,2019-09-01T07:42:39.010,0.515,98243.688
1567348959083,2019-09-01T07:42:39.083,0.588,98249.734
1567348959157,2019-09-01T07:42:39.157,0.662,98244.000
1567348959231,2019-09-01T07:42:39.231,0.736,98243.195
1567348959305,2019-09-01T07:42:39.305,0.810,98244.500
1567348959378,2019-09-01T07:42:39.378,0.883,98249.234
1567348959451,2019-09-01T07:42:39.451,0.956,98247.109
1567348959526,2019-09-01T07:42:39.526,1.031,98245.813
1567348959599,2019-09-01T07:42:39.599,1.104,98247.109
1567348959672,2019-09-01T07:42:39.672,1.177,98247.109
1567348959747,2019-09-01T07:42:39.747,1.252,98249.234
1567348959820,2019-09-01T07:42:39.820,1.325,98250.539
1567348959893,2019-09-01T07:42:39.893,1.398,98243.688
1567348959967,2019-09-01T07:42:39.967,1.472,98245.813
1567348960041,2019-09-01T07:42:40.041,1.546,98243.688
1567348960115,2019-09-01T07:42:40.115,1.620,98248.422
1567348960188,2019-09-01T07:42:40.188,1.693,98247.930
1567348960261,2019-09-01T07:42:40.261,1.766,98245.313
1567348960336,2019-09-01T07:42:40.336,1.841,98244.500
1567348960409,2019-09-01T07:42:40.409,1.914,98248.734
1567348960482,2019-09-01T07:42:40.482,1.987,98250.047
1567348960557,2019-09-01T07:42:40.557,2.062,98248.422
1567348960630,2019-09-01T07:42:40.630,2.135,98246.625
1567348960703,2019-09-01T07:42:40.703,2.208,98244.500
1567348960777,2019-09-01T07:42:40.777,2.282,98244.500
1567348960851,2019-09-01T07:42:40.851,2.356,98247.438
1567348960925,2019-09-01T07:42:40.925,2.430,98248.422
1567348960998,2019-09-01T07:42:40.998,2.503,98248.422
1567348961071,2019-09-01T07:42:41.071,2.576,98248.734
1567348961146,2019-09-01T07:42:41.146,2.651,98248.242
1567348961219,2019-09-01T07:42:41.219,2.724,98250.047
1567348961292,2019-09-01T07:42:41.292,2.797,98247.930
1567348961366,2019-09-01T07:42:41.366,2.871,98247.438
1567348961440,2019-09-01T07:42:41.440,2.945,98253.469
1567348961514,2019-09-01T07:42:41.514,3.019,98250.047
1567348961587,2019-09-01T07:42:41.587,3.092,98246.625
