time,class,class_prop,class_rel,class_prop_rel
145.16,7,1,7,1
146.16,7,1,7,1
147.16,7,1,7,1
148.16,7,1,7,1
149.16,7,1,7,1
150.16,7,1,7,1
151.16,7,1,7,1
152.16,7,1,7,1
153.16,7,1,7,1
154.16,7,1,7,1
155.16,7,1,7,1
156.16,7,1,7,1
157.16,7,1,7,1
158.16,7,1,7,1
159.16,7,1,7,1
160.16,7,1,7,1
161.16,7,1,7,1
162.16,7,1,7,1
163.16,7,1,7,1
164.16,7,1,7,1
165.16,7,1,7,1
166.16,7,1,7,1
167.16,7,1,7,1
168.16,7,1,7,1
169.16,7,1,7,1
170.16,7,1,7,1
171.16,7,1,7,1
172.16,7,1,7,1
173.16,7,1,7,1
174.16,7,1,7,1
175.16,7,1,7,1
176.16,7,1,7,1
177.16,7,1,7,1
178.16,7,1,7,1
179.16,7,1,7,1
180.16,7,1,7,1
181.16,7,1,7,1
182.16,7,1,7,1
183.16,7,1,7,1
184.16,7,1,7,1
185.16,7,1,7,1
186.16,7,1,7,1
187.16,7,1,7,1
188.16,7,1,7,1
189.16,7,1,7,1
190.16,7,1,7,1
191.16,7,1,7,1
192.16,7,1,7,1
193.16,7,1,7,1
194.16,7,1,7,1
195.16,7,1,7,1
196.16,7,1,7,1
197.16,7,1,7,1
198.16,7,1,7,1
199.16,7,1,7,1
200.16,7,1,7,1
201.16,7,1,7,1
202.16,7,1,7,1
203.16,7,1,7,1
204.16,7,1,7,1
205.16,7,1,7,1
206.16,7,1,7,1
207.16,7,1,7,1
208.16,7,1,7,1
209.16,7,1,7,1
210.16,7,1,7,1
211.16,7,1,7,1
212.16,7,1,7,1
213.16,7,1,7,1
214.16,7,1,7,1
215.16,7,1,7,1
216.16,7,1,7,1
217.16,7,1,7,1
218.16,7,1,7,1
219.16,7,1,7,1
220.16,7,1,7,1
221.16,7,1,7,1
222.16,7,1,7,1
223.16,7,1,7,1
224.16,7,1,7,1
225.16,7,1,7,1
226.16,7,1,7,1
227.16,7,1,7,1
228.16,7,1,7,1
229.16,7,1,7,1
230.16,7,1,7,1
231.16,7,1,7,1
232.16,7,1,7,1
233.16,7,1,7,1
234.16,7,1,7,1
235.16,7,1,7,1
236.16,7,1,7,1
237.16,7,1,7,1
238.16,7,1,7,1
239.16,7,1,7,1
240.16,7,1,7,1
241.16,7,1,7,1
242.16,7,1,7,1
243.16,7,1,7,1
244.16,7,1,7,1
245.16,7,1,7,1
246.16,7,1,7,1
247.16,7,1,7,1
248.16,7,1,7,1
249.16,7,1,7,1
250.16,7,1,7,1
251.16,7,1,7,1
252.16,7,1,7,1
253.16,7,1,7,1
254.16,7,1,7,1
255.16,7,1,7,1
256.16,7,1,7,1
257.16,7,1,7,1
258.16,7,1,7,1
259.16,7,1,7,1
260.16,7,1,7,1
261.16,7,1,7,1
262.16,7,1,7,1
263.16,7,1,7,1
264.16,7,1,7,1
265.16,7,1,7,1
266.16,7,1,7,1
267.16,7,1,7,1
268.16,7,1,7,1
269.16,7,1,7,1
270.16,7,1,7,1
271.16,7,1,7,1
272.16,7,1,7,1
273.16,7,1,7,1
274.16,7,1,7,1
275.16,7,1,7,1
276.16,7,1,7,1
277.16,7,1,7,1
278.16,7,1,7,1
279.16,7,1,7,1
280.16,7,0.940298507462687,7,0.885572139303483
281.16,7,0.691542288557214,7,0.63681592039801
282.16,3,0.557213930348259,3,0.611940298507463
283.16,3,0.805970149253731,3,0.73134328358209
284.16,3,1,3,0.621890547263682
285.16,3,1,4,0.626865671641791
286.16,3,0.860696517412935,4,0.746268656716418
287.16,3,0.611940298507463,4,0.621890547263682
288.16,7,0.63681592039801,7,0.626865671641791
289.16,7,0.885572139303483,7,0.875621890547264
290.16,7,1,7,1
291.16,7,1,7,1
292.16,7,1,7,1
293.16,7,1,7,1
294.16,7,1,7,1
295.16,7,1,7,1
296.16,7,1,7,1
297.16,7,1,7,1
298.16,7,1,7,1
299.16,7,1,7,1
300.16,7,1,7,1
301.16,7,1,7,1
302.16,7,1,7,1
303.16,7,1,7,1
304.16,7,1,7,1
305.16,7,1,7,1
306.16,7,1,7,1
307.16,7,1,7,1
308.16,7,1,7,1
309.16,7,1,7,1
310.16,7,1,7,1
311.16,7,1,7,1
312.16,7,1,7,1
313.16,7,1,7,1
314.16,7,1,7,1
315.16,7,1,7,1
316.16,7,1,7,1
317.16,7,1,7,1
318.16,7,1,7,1
319.16,7,1,7,1
320.16,7,1,7,1
