51782,54570,hw
54570,61132,hs
61608,62526,hw
63172,97852,hs
98226,100130,hw
100130,114036,hs
114342,118966,hw
118966,122128,hs
122434,123964,hw
123964,133348,hs
133790,233206,hw
233206,235042,hs
235280,237728,hw
237728,239122,hs
243814,374825,ss
374825,383554,p
384098,386002,c
386002,403614,p
409360,410108,c
410108,414528,p
415582,416262,c
416262,424762,p
428468,448324,ss
448528,466140,p
466480,470662,ss
471376,472702,c
472702,474844,p
475320,489940,ss
492660,507110,p
507110,509354,c
509354,519962,p
519962,526660,c
528700,531442,p
533358,535568,c
535568,539002,p
539580,541722,ss
542096,545700,p
547094,590648,ss
594354,616862,ss
619480,622030,sc
622914,650488,l
651542,662456,p
662796,672112,ss
673370,677790,c
678708,681972,ss
682822,693260,p
695504,708526,u
708526,719038,ss
719038,772276,u
772752,776649,p
887128,1082220,sr
1121762,1121762,99
