epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1559943566964,2019-06-07T14.39.26.964,0.000,-0.793,0.366,0.915
1559943566985,2019-06-07T14.39.26.985,0.021,-0.366,0.427,0.732
1559943567005,2019-06-07T14.39.27.005,0.041,-0.427,0.244,0.671
1559943567026,2019-06-07T14.39.27.026,0.062,-0.488,0.305,0.671
1559943567046,2019-06-07T14.39.27.046,0.082,-0.488,0.183,0.732
1559943567065,2019-06-07T14.39.27.065,0.101,-0.488,0.366,0.732
1559943567086,2019-06-07T14.39.27.086,0.122,-0.366,0.305,0.732
1559943567106,2019-06-07T14.39.27.106,0.142,-0.488,0.305,0.671
1559943567127,2019-06-07T14.39.27.127,0.163,-0.427,0.244,0.732
1559943567147,2019-06-07T14.39.27.147,0.183,-0.549,0.305,0.671
1559943567168,2019-06-07T14.39.27.168,0.204,-0.427,0.305,0.732
1559943567188,2019-06-07T14.39.27.188,0.224,-0.549,0.305,0.610
1559943567207,2019-06-07T14.39.27.207,0.243,-0.427,0.244,0.671
1559943567228,2019-06-07T14.39.27.228,0.264,-0.488,0.305,0.732
1559943567248,2019-06-07T14.39.27.248,0.284,-0.427,0.244,0.732
1559943567269,2019-06-07T14.39.27.269,0.305,-0.610,0.305,0.671
1559943567289,2019-06-07T14.39.27.289,0.325,-0.488,0.244,0.671
1559943567310,2019-06-07T14.39.27.310,0.346,-0.427,0.244,0.671
1559943567329,2019-06-07T14.39.27.329,0.365,-0.488,0.244,0.671
1559943567349,2019-06-07T14.39.27.349,0.385,-0.549,0.305,0.671
1559943567370,2019-06-07T14.39.27.370,0.406,-0.488,0.244,0.732
1559943567390,2019-06-07T14.39.27.390,0.426,-0.549,0.305,0.732
1559943567411,2019-06-07T14.39.27.411,0.447,-0.549,0.305,0.671
1559943567431,2019-06-07T14.39.27.431,0.467,-0.549,0.305,0.671
1559943567452,2019-06-07T14.39.27.452,0.488,-0.488,0.305,0.671
1559943567471,2019-06-07T14.39.27.471,0.507,-0.549,0.305,0.732
1559943567491,2019-06-07T14.39.27.491,0.527,-0.427,0.305,0.610
1559943567512,2019-06-07T14.39.27.512,0.548,-0.427,0.244,0.671
1559943567532,2019-06-07T14.39.27.532,0.568,-0.488,0.305,0.671
1559943567553,2019-06-07T14.39.27.553,0.589,-0.549,0.305,0.610
1559943567573,2019-06-07T14.39.27.573,0.609,-0.549,0.305,0.610
1559943567594,2019-06-07T14.39.27.594,0.630,-0.488,0.244,0.671
1559943567613,2019-06-07T14.39.27.613,0.649,-0.549,0.244,0.732
1559943567633,2019-06-07T14.39.27.633,0.669,-0.488,0.305,0.732
1559943567654,2019-06-07T14.39.27.654,0.690,-0.427,0.305,0.671
1559943567674,2019-06-07T14.39.27.674,0.710,-0.427,0.305,0.732
1559943567695,2019-06-07T14.39.27.695,0.731,-0.549,0.244,0.671
1559943567715,2019-06-07T14.39.27.715,0.751,-0.488,0.305,0.732
1559943567735,2019-06-07T14.39.27.735,0.771,-0.366,0.305,0.671
1559943567755,2019-06-07T14.39.27.755,0.791,-0.549,0.244,0.671
1559943567776,2019-06-07T14.39.27.776,0.812,-0.549,0.244,0.671
1559943567796,2019-06-07T14.39.27.796,0.832,-0.488,0.305,0.671
1559943567817,2019-06-07T14.39.27.817,0.853,-0.488,0.305,0.610
1559943567837,2019-06-07T14.39.27.837,0.873,-0.427,0.244,0.610
1559943567858,2019-06-07T14.39.27.858,0.894,-0.488,0.305,0.610
1559943567877,2019-06-07T14.39.27.877,0.913,-0.549,0.305,0.732
1559943567897,2019-06-07T14.39.27.897,0.933,-0.488,0.305,0.732
1559943567918,2019-06-07T14.39.27.918,0.954,-0.549,0.244,0.732
1559943567938,2019-06-07T14.39.27.938,0.974,-0.427,0.305,0.732
1559943567959,2019-06-07T14.39.27.959,0.995,-0.488,0.305,0.732
1559943567979,2019-06-07T14.39.27.979,1.015,-0.488,0.305,0.671
1559943568000,2019-06-07T14.39.28.000,1.036,-0.488,0.305,0.732
1559943568019,2019-06-07T14.39.28.019,1.055,-0.488,0.244,0.671
1559943568039,2019-06-07T14.39.28.039,1.075,-0.488,0.305,0.671
1559943568060,2019-06-07T14.39.28.060,1.096,-0.549,0.305,0.671
1559943568080,2019-06-07T14.39.28.080,1.116,-0.488,0.244,0.732
1559943568101,2019-06-07T14.39.28.101,1.137,-0.488,0.305,0.793
1559943568121,2019-06-07T14.39.28.121,1.157,-0.549,0.305,0.732
1559943568140,2019-06-07T14.39.28.140,1.176,-0.610,0.305,0.732
1559943568161,2019-06-07T14.39.28.161,1.197,-0.549,0.305,0.671
1559943568181,2019-06-07T14.39.28.181,1.217,-0.488,0.366,0.671
1559943568202,2019-06-07T14.39.28.202,1.238,-0.488,0.366,0.610
1559943568222,2019-06-07T14.39.28.222,1.258,-0.488,0.244,0.671
1559943568243,2019-06-07T14.39.28.243,1.279,-0.610,0.244,0.671
1559943568263,2019-06-07T14.39.28.263,1.299,-0.488,0.305,0.671
1559943568282,2019-06-07T14.39.28.282,1.318,-0.488,0.305,0.671
1559943568303,2019-06-07T14.39.28.303,1.339,-0.488,0.183,0.671
1559943568323,2019-06-07T14.39.28.323,1.359,-0.549,0.244,0.671
1559943568344,2019-06-07T14.39.28.344,1.380,-0.549,0.305,0.671
1559943568364,2019-06-07T14.39.28.364,1.400,-0.427,0.366,0.671
1559943568385,2019-06-07T14.39.28.385,1.421,-0.488,0.183,0.671
1559943568405,2019-06-07T14.39.28.405,1.441,-0.549,0.427,0.610
1559943568424,2019-06-07T14.39.28.424,1.460,-0.366,0.305,0.793
1559943568445,2019-06-07T14.39.28.445,1.481,-0.671,0.366,0.732
1559943568465,2019-06-07T14.39.28.465,1.501,-0.427,0.122,0.732
1559943568486,2019-06-07T14.39.28.486,1.522,-0.671,0.488,0.549
1559943568507,2019-06-07T14.39.28.507,1.543,-0.366,0.183,0.732
1559943568527,2019-06-07T14.39.28.527,1.563,-0.610,0.305,0.671
1559943568546,2019-06-07T14.39.28.546,1.582,-0.427,0.305,0.732
1559943568567,2019-06-07T14.39.28.567,1.603,-0.610,0.305,0.549
1559943568587,2019-06-07T14.39.28.587,1.623,-0.366,0.244,0.732
1559943568608,2019-06-07T14.39.28.608,1.644,-0.671,0.427,0.610
1559943568628,2019-06-07T14.39.28.628,1.664,-0.366,0.183,0.732
