51972,54128,hw
54162,60928,hs
61642,63070,hw
63104,98158,hs
98940,99552,hw
99586,113866,hs
114444,119000,hw
119034,121992,hs
122672,124032,hw
124066,133484,hs
133858,233206,hw
233274,239224,hs
243950,375972,ss
378624,382466,p
382636,386784,c
386818,402764,p
409360,410142,c
410176,415344,p
415582,416092,c
416126,424286,p
427992,447576,ss
451044,455634,p
466480,470390,ss
470696,472770,c
472804,474572,p
475422,489260,ss
492694,506872,p
507144,509490,c
509524,517242,p
517242,527476,c
528870,532848,ss
534140,538424,c
539818,541518,ss
542164,545360,p
547230,590308,ss
594422,616352,ss
619582,621894,sc
622914,650250,l
652052,661640,p
662864,671364,ss
673370,677790,c
678742,681802,ss
686154,688262,p
700774,707540,u
708560,709886,ss
727974,763504,u
776015,777002,p
888760,1082832,sr
1121762,1121762,99
