epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559846222553,2019-06-06T11.37.02.553,0.000,97689.920
1559846222628,2019-06-06T11.37.02.628,0.075,97700.230
1559846222701,2019-06-06T11.37.02.701,0.148,97701.910
1559846222774,2019-06-06T11.37.02.774,0.221,97695.840
1559846222848,2019-06-06T11.37.02.848,0.295,97710.550
1559846222922,2019-06-06T11.37.02.922,0.369,97737.870
1559846222996,2019-06-06T11.37.02.996,0.443,97793.040
1559846223069,2019-06-06T11.37.03.069,0.516,97790.060
1559846223142,2019-06-06T11.37.03.142,0.589,97773.920
1559846223217,2019-06-06T11.37.03.217,0.664,97804.780
1559846223290,2019-06-06T11.37.03.290,0.737,97801.690
1559846223363,2019-06-06T11.37.03.363,0.810,97822.560
1559846223436,2019-06-06T11.37.03.436,0.883,97786.030
1559846223511,2019-06-06T11.37.03.511,0.958,97837.400
1559846223584,2019-06-06T11.37.03.584,1.031,97893.880
1559846223658,2019-06-06T11.37.03.658,1.105,97802.990
1559846223731,2019-06-06T11.37.03.731,1.178,97685.920
1559846223806,2019-06-06T11.37.03.806,1.253,97655.910
1559846223879,2019-06-06T11.37.03.879,1.326,97607.150
1559846223952,2019-06-06T11.37.03.952,1.399,97619.380
1559846224025,2019-06-06T11.37.04.025,1.472,97595.890
1559846224100,2019-06-06T11.37.04.100,1.547,97545.380
1559846224173,2019-06-06T11.37.04.173,1.620,97572.770
1559846224247,2019-06-06T11.37.04.247,1.694,97712.390
1559846224320,2019-06-06T11.37.04.320,1.767,97615.830
1559846224394,2019-06-06T11.37.04.394,1.841,97680.590
1559846224468,2019-06-06T11.37.04.468,1.915,97754.500
1559846224541,2019-06-06T11.37.04.541,1.988,97713.200
1559846224614,2019-06-06T11.37.04.614,2.061,97655.340
1559846224689,2019-06-06T11.37.04.689,2.136,97583.090
1559846224762,2019-06-06T11.37.04.762,2.209,97523.920
1559846224835,2019-06-06T11.37.04.835,2.282,97573.500
1559846224909,2019-06-06T11.37.04.909,2.356,97561.760
1559846224983,2019-06-06T11.37.04.983,2.430,97544.300
1559846225057,2019-06-06T11.37.05.057,2.504,97601.360
1559846225130,2019-06-06T11.37.05.130,2.577,97732.690
1559846225203,2019-06-06T11.37.05.203,2.650,97680.010
1559846225278,2019-06-06T11.37.05.278,2.725,97739.090
1559846225351,2019-06-06T11.37.05.351,2.798,97898.780
1559846225424,2019-06-06T11.37.05.424,2.871,97869.140
1559846225498,2019-06-06T11.37.05.498,2.945,97883.490
1559846225572,2019-06-06T11.37.05.572,3.019,97877.420
1559846225645,2019-06-06T11.37.05.645,3.092,97776.480
1559846225719,2019-06-06T11.37.05.719,3.166,97710.300
1559846225792,2019-06-06T11.37.05.792,3.239,97625.480
1559846225867,2019-06-06T11.37.05.867,3.314,97748.140
1559846225940,2019-06-06T11.37.05.940,3.387,97858.580
1559846226013,2019-06-06T11.37.06.013,3.460,97876.370
1559846226086,2019-06-06T11.37.06.086,3.533,97840.800
1559846226161,2019-06-06T11.37.06.161,3.608,97671.030
1559846226234,2019-06-06T11.37.06.234,3.681,97743.260
1559846226308,2019-06-06T11.37.06.308,3.755,97772.820
1559846226382,2019-06-06T11.37.06.382,3.829,97723.230
1559846226456,2019-06-06T11.37.06.456,3.903,97630.090
1559846226529,2019-06-06T11.37.06.529,3.976,97764.050
1559846226602,2019-06-06T11.37.06.602,4.049,97734.480
1559846226677,2019-06-06T11.37.06.677,4.124,97894.550
1559846226750,2019-06-06T11.37.06.750,4.197,98055.910
1559846226823,2019-06-06T11.37.06.823,4.270,98147.270
1559846226896,2019-06-06T11.37.06.896,4.343,98299.160
1559846226971,2019-06-06T11.37.06.971,4.418,98215.130
1559846227044,2019-06-06T11.37.07.044,4.491,97824.910
1559846227118,2019-06-06T11.37.07.118,4.565,97649.090
1559846227191,2019-06-06T11.37.07.191,4.638,97382.890
1559846227266,2019-06-06T11.37.07.266,4.713,97546.000
1559846227339,2019-06-06T11.37.07.339,4.786,97728.700
1559846227412,2019-06-06T11.37.07.412,4.859,97897.410
1559846227485,2019-06-06T11.37.07.485,4.932,97983.110
1559846227560,2019-06-06T11.37.07.560,5.007,97927.440
1559846227633,2019-06-06T11.37.07.633,5.080,97843.450
1559846227707,2019-06-06T11.37.07.707,5.154,97720.290
1559846227780,2019-06-06T11.37.07.780,5.227,97703.330
1559846227854,2019-06-06T11.37.07.854,5.301,97699.050
1559846227928,2019-06-06T11.37.07.928,5.375,97702.510
1559846228001,2019-06-06T11.37.08.001,5.448,97713.770
1559846228074,2019-06-06T11.37.08.074,5.521,97758.980
1559846228149,2019-06-06T11.37.08.149,5.596,97772.860
1559846228222,2019-06-06T11.37.08.222,5.669,97789.830
1559846228295,2019-06-06T11.37.08.295,5.742,97782.810
1559846228369,2019-06-06T11.37.08.369,5.816,97784.610
1559846228443,2019-06-06T11.37.08.443,5.890,97851.980
1559846228517,2019-06-06T11.37.08.517,5.964,97891.520
1559846228590,2019-06-06T11.37.08.590,6.037,97876.700
1559846228663,2019-06-06T11.37.08.663,6.110,97784.030
1559846228738,2019-06-06T11.37.08.738,6.185,97626.940
