epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559846222622,2019-06-06T11.37.02.622,0.000,97672.510
1559846222695,2019-06-06T11.37.02.695,0.073,97679.190
1559846222770,2019-06-06T11.37.02.770,0.148,97677.380
1559846222843,2019-06-06T11.37.02.843,0.221,97677.380
1559846222917,2019-06-06T11.37.02.917,0.295,97674.750
1559846222990,2019-06-06T11.37.02.990,0.368,97681.640
1559846223065,2019-06-06T11.37.03.065,0.443,97680.630
1559846223138,2019-06-06T11.37.03.138,0.516,97678.520
1559846223211,2019-06-06T11.37.03.211,0.589,97683.250
1559846223284,2019-06-06T11.37.03.284,0.662,97679.830
1559846223359,2019-06-06T11.37.03.359,0.737,97678.000
1559846223432,2019-06-06T11.37.03.432,0.810,97678.000
1559846223506,2019-06-06T11.37.03.506,0.884,97679.320
1559846223579,2019-06-06T11.37.03.579,0.957,97672.770
1559846223653,2019-06-06T11.37.03.653,1.031,97679.830
1559846223727,2019-06-06T11.37.03.727,1.105,97679.830
1559846223800,2019-06-06T11.37.03.800,1.178,97671.950
1559846223873,2019-06-06T11.37.03.873,1.251,97675.380
1559846223948,2019-06-06T11.37.03.948,1.326,97679.320
1559846224021,2019-06-06T11.37.04.021,1.399,97675.380
1559846224094,2019-06-06T11.37.04.094,1.472,97679.320
1559846224168,2019-06-06T11.37.04.168,1.546,97679.320
1559846224242,2019-06-06T11.37.04.242,1.620,97678.000
1559846224316,2019-06-06T11.37.04.316,1.694,97678.000
1559846224389,2019-06-06T11.37.04.389,1.767,97680.970
1559846224462,2019-06-06T11.37.04.462,1.840,97686.510
1559846224537,2019-06-06T11.37.04.537,1.915,97681.470
1559846224610,2019-06-06T11.37.04.610,1.988,97679.650
1559846224683,2019-06-06T11.37.04.683,2.061,97678.840
1559846224757,2019-06-06T11.37.04.757,2.135,97678.170
1559846224831,2019-06-06T11.37.04.831,2.209,97679.950
1559846224904,2019-06-06T11.37.04.904,2.282,97679.950
1559846224978,2019-06-06T11.37.04.978,2.356,97671.450
