epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559846222613,2019-06-06T11.37.02.613,0.000,97768.800
1559846222686,2019-06-06T11.37.02.686,0.073,97767.480
1559846222760,2019-06-06T11.37.02.760,0.147,97768.800
1559846222833,2019-06-06T11.37.02.833,0.220,97768.800
1559846222908,2019-06-06T11.37.02.908,0.295,97767.020
1559846222981,2019-06-06T11.37.02.981,0.368,97767.310
1559846223054,2019-06-06T11.37.03.054,0.441,97769.130
1559846223127,2019-06-06T11.37.03.127,0.514,97768.130
1559846223202,2019-06-06T11.37.03.202,0.589,97766.810
1559846223275,2019-06-06T11.37.03.275,0.662,97766.810
1559846223349,2019-06-06T11.37.03.349,0.736,97765.500
1559846223422,2019-06-06T11.37.03.422,0.809,97769.430
1559846223497,2019-06-06T11.37.03.497,0.884,97771.550
1559846223570,2019-06-06T11.37.03.570,0.957,97769.430
1559846223643,2019-06-06T11.37.03.643,1.030,97769.430
1559846223716,2019-06-06T11.37.03.716,1.103,97766.300
1559846223791,2019-06-06T11.37.03.791,1.178,97771.550
1559846223864,2019-06-06T11.37.03.864,1.251,97771.880
1559846223937,2019-06-06T11.37.03.937,1.324,97765.500
1559846224011,2019-06-06T11.37.04.011,1.398,97766.810
1559846224085,2019-06-06T11.37.04.085,1.472,97771.050
1559846224159,2019-06-06T11.37.04.159,1.546,97769.730
1559846224232,2019-06-06T11.37.04.232,1.619,97768.920
1559846224305,2019-06-06T11.37.04.305,1.692,97772.350
1559846224380,2019-06-06T11.37.04.380,1.767,97772.050
1559846224453,2019-06-06T11.37.04.453,1.840,97772.350
1559846224526,2019-06-06T11.37.04.526,1.913,97775.810
1559846224600,2019-06-06T11.37.04.600,1.987,97769.730
1559846224674,2019-06-06T11.37.04.674,2.061,97772.350
1559846224748,2019-06-06T11.37.04.748,2.135,97771.880
1559846224821,2019-06-06T11.37.04.821,2.208,97767.310
1559846224894,2019-06-06T11.37.04.894,2.281,97771.380
1559846224969,2019-06-06T11.37.04.969,2.356,97773.190
1559846225042,2019-06-06T11.37.05.042,2.429,97770.570
1559846225115,2019-06-06T11.37.05.115,2.502,97765.800
1559846225188,2019-06-06T11.37.05.188,2.575,97767.110
1559846225263,2019-06-06T11.37.05.263,2.650,97768.420
1559846225336,2019-06-06T11.37.05.336,2.723,97769.730
1559846225410,2019-06-06T11.37.05.410,2.797,97771.380
1559846225483,2019-06-06T11.37.05.483,2.870,97766.640
1559846225558,2019-06-06T11.37.05.558,2.945,97768.760
1559846225631,2019-06-06T11.37.05.631,3.018,97767.950
1559846225704,2019-06-06T11.37.05.704,3.091,97767.110
1559846225777,2019-06-06T11.37.05.777,3.164,97772.190
1559846225852,2019-06-06T11.37.05.852,3.239,97768.250
1559846225925,2019-06-06T11.37.05.925,3.312,97768.420
1559846225998,2019-06-06T11.37.05.998,3.385,97768.760
1559846226072,2019-06-06T11.37.06.072,3.459,97770.060
1559846226146,2019-06-06T11.37.06.146,3.533,97770.880
1559846226220,2019-06-06T11.37.06.220,3.607,97767.950
1559846226293,2019-06-06T11.37.06.293,3.680,97768.420
1559846226366,2019-06-06T11.37.06.366,3.753,97769.730
1559846226441,2019-06-06T11.37.06.441,3.828,97767.450
1559846226514,2019-06-06T11.37.06.514,3.901,97770.060
1559846226587,2019-06-06T11.37.06.587,3.974,97762.700
1559846226661,2019-06-06T11.37.06.661,4.048,97769.060
1559846226735,2019-06-06T11.37.06.735,4.122,97766.130
1559846226809,2019-06-06T11.37.06.809,4.196,97770.060
1559846226882,2019-06-06T11.37.06.882,4.269,97767.450
1559846226955,2019-06-06T11.37.06.955,4.342,97767.450
1559846227030,2019-06-06T11.37.07.030,4.417,97768.250
1559846227103,2019-06-06T11.37.07.103,4.490,97766.940
1559846227176,2019-06-06T11.37.07.176,4.563,97764.820
1559846227249,2019-06-06T11.37.07.249,4.636,97766.130
1559846227324,2019-06-06T11.37.07.324,4.711,97765.630
1559846227397,2019-06-06T11.37.07.397,4.784,97767.950
1559846227471,2019-06-06T11.37.07.471,4.858,97763.520
1559846227544,2019-06-06T11.37.07.544,4.931,97767.750
1559846227619,2019-06-06T11.37.07.619,5.006,97769.560
1559846227692,2019-06-06T11.37.07.692,5.079,97767.450
1559846227765,2019-06-06T11.37.07.765,5.152,97765.630
1559846227838,2019-06-06T11.37.07.838,5.225,97768.250
1559846227913,2019-06-06T11.37.07.913,5.300,97770.380
1559846227986,2019-06-06T11.37.07.986,5.373,97770.380
1559846228060,2019-06-06T11.37.08.060,5.447,97766.130
1559846228133,2019-06-06T11.37.08.133,5.520,97772.190
1559846228207,2019-06-06T11.37.08.207,5.594,97770.380
1559846228281,2019-06-06T11.37.08.281,5.668,97769.060
1559846228354,2019-06-06T11.37.08.354,5.741,97770.880
1559846228427,2019-06-06T11.37.08.427,5.814,97769.060
1559846228502,2019-06-06T11.37.08.502,5.889,97768.250
1559846228575,2019-06-06T11.37.08.575,5.962,97769.060
1559846228648,2019-06-06T11.37.08.648,6.035,97769.560
1559846228722,2019-06-06T11.37.08.722,6.109,97770.380
1559846228796,2019-06-06T11.37.08.796,6.183,97770.880
1559846228870,2019-06-06T11.37.08.870,6.257,97777.730
1559846228943,2019-06-06T11.37.08.943,6.330,97774.800
1559846229016,2019-06-06T11.37.09.016,6.403,97772.980
1559846229091,2019-06-06T11.37.09.091,6.478,97771.680
1559846229164,2019-06-06T11.37.09.164,6.551,97767.750
1559846229237,2019-06-06T11.37.09.237,6.624,97767.750
1559846229310,2019-06-06T11.37.09.310,6.697,97772.190
1559846229385,2019-06-06T11.37.09.385,6.772,97773.300
1559846229458,2019-06-06T11.37.09.458,6.845,97771.170
1559846229532,2019-06-06T11.37.09.532,6.919,97767.240
1559846229605,2019-06-06T11.37.09.605,6.992,97772.790
1559846229680,2019-06-06T11.37.09.680,7.067,97772.480
1559846229753,2019-06-06T11.37.09.753,7.140,97767.750
1559846229826,2019-06-06T11.37.09.826,7.213,97771.980
1559846229899,2019-06-06T11.37.09.899,7.286,97767.550
1559846229974,2019-06-06T11.37.09.974,7.361,97773.300
1559846230047,2019-06-06T11.37.10.047,7.434,97767.240
1559846230121,2019-06-06T11.37.10.121,7.508,97768.050
1559846230194,2019-06-06T11.37.10.194,7.581,97770.170
1559846230269,2019-06-06T11.37.10.269,7.656,97770.670
1559846230342,2019-06-06T11.37.10.342,7.729,97773.300
1559846230415,2019-06-06T11.37.10.415,7.802,97768.850
1559846230488,2019-06-06T11.37.10.488,7.875,97769.360
1559846230563,2019-06-06T11.37.10.563,7.950,97769.360
1559846230636,2019-06-06T11.37.10.636,8.023,97769.360
1559846230709,2019-06-06T11.37.10.709,8.096,97768.050
1559846230783,2019-06-06T11.37.10.783,8.170,97766.730
1559846230857,2019-06-06T11.37.10.857,8.244,97771.480
1559846230931,2019-06-06T11.37.10.931,8.318,97767.070
1559846231004,2019-06-06T11.37.11.004,8.391,97766.230
1559846231077,2019-06-06T11.37.11.077,8.464,97772.790
1559846231152,2019-06-06T11.37.11.152,8.539,97771.480
1559846231225,2019-06-06T11.37.11.225,8.612,97775.410
1559846231298,2019-06-06T11.37.11.298,8.685,97771.480
1559846231372,2019-06-06T11.37.11.372,8.759,97770.670
1559846231446,2019-06-06T11.37.11.446,8.833,97774.090
1559846231519,2019-06-06T11.37.11.519,8.906,97775.410
1559846231593,2019-06-06T11.37.11.593,8.980,97775.410
1559846231666,2019-06-06T11.37.11.666,9.053,97777.230
1559846231741,2019-06-06T11.37.11.741,9.128,97774.090
1559846231814,2019-06-06T11.37.11.814,9.201,97774.940
1559846231887,2019-06-06T11.37.11.887,9.274,97776.250
1559846231960,2019-06-06T11.37.11.960,9.347,97772.790
1559846232035,2019-06-06T11.37.12.035,9.422,97777.560
1559846232108,2019-06-06T11.37.12.108,9.495,97773.630
1559846232182,2019-06-06T11.37.12.182,9.569,97775.740
1559846232255,2019-06-06T11.37.12.255,9.642,97774.090
1559846232330,2019-06-06T11.37.12.330,9.717,97770.500
1559846232403,2019-06-06T11.37.12.403,9.790,97775.410
1559846232476,2019-06-06T11.37.12.476,9.863,97773.630
1559846232549,2019-06-06T11.37.12.549,9.936,97773.630
1559846232624,2019-06-06T11.37.12.624,10.011,97772.790
1559846232697,2019-06-06T11.37.12.697,10.084,97774.440
1559846232770,2019-06-06T11.37.12.770,10.157,97778.360
1559846232844,2019-06-06T11.37.12.844,10.231,97773.130
1559846232918,2019-06-06T11.37.12.918,10.305,97777.860
1559846232992,2019-06-06T11.37.12.992,10.379,97778.360
1559846233065,2019-06-06T11.37.13.065,10.452,97777.360
1559846233138,2019-06-06T11.37.13.138,10.525,97776.050
1559846233213,2019-06-06T11.37.13.213,10.600,97775.230
1559846233286,2019-06-06T11.37.13.286,10.673,97778.160
1559846233359,2019-06-06T11.37.13.359,10.746,97773.130
1559846233433,2019-06-06T11.37.13.433,10.820,97772.620
1559846233507,2019-06-06T11.37.13.507,10.894,97772.110
1559846233581,2019-06-06T11.37.13.581,10.968,97762.130
1559846233654,2019-06-06T11.37.13.654,11.041,97772.620
1559846233727,2019-06-06T11.37.13.727,11.114,97766.060
1559846233802,2019-06-06T11.37.13.802,11.189,97767.380
1559846233875,2019-06-06T11.37.13.875,11.262,97770.500
