epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1559846222631,2019-06-06T11.37.02.631,0.000,0.777,-0.190,0.721
1559846222650,2019-06-06T11.37.02.650,0.019,0.753,-0.216,0.695
1559846222670,2019-06-06T11.37.02.670,0.039,0.701,-0.251,0.687
1559846222689,2019-06-06T11.37.02.689,0.058,0.724,-0.226,0.697
1559846222708,2019-06-06T11.37.02.708,0.077,0.740,-0.263,0.736
1559846222729,2019-06-06T11.37.02.729,0.098,0.711,-0.261,0.752
1559846222748,2019-06-06T11.37.02.748,0.117,0.785,-0.229,0.690
1559846222769,2019-06-06T11.37.02.769,0.138,0.832,-0.153,0.676
1559846222788,2019-06-06T11.37.02.788,0.157,0.779,-0.205,0.667
1559846222808,2019-06-06T11.37.02.808,0.177,0.764,-0.197,0.562
1559846222827,2019-06-06T11.37.02.827,0.196,0.767,-0.072,0.477
1559846222848,2019-06-06T11.37.02.848,0.217,0.738,0.079,0.345
1559846222867,2019-06-06T11.37.02.867,0.236,0.779,0.225,0.311
1559846222887,2019-06-06T11.37.02.887,0.256,0.866,0.350,0.361
1559846222906,2019-06-06T11.37.02.906,0.275,0.959,0.455,0.380
1559846222925,2019-06-06T11.37.02.925,0.294,0.957,0.479,0.381
1559846222946,2019-06-06T11.37.02.946,0.315,0.874,0.438,0.398
1559846222965,2019-06-06T11.37.02.965,0.334,0.862,0.376,0.439
1559846222985,2019-06-06T11.37.02.985,0.354,0.903,0.381,0.412
1559846223004,2019-06-06T11.37.03.004,0.373,0.911,0.369,0.439
1559846223025,2019-06-06T11.37.03.025,0.394,0.883,0.287,0.504
1559846223044,2019-06-06T11.37.03.044,0.413,0.835,0.200,0.541
1559846223064,2019-06-06T11.37.03.064,0.433,0.833,0.189,0.557
1559846223083,2019-06-06T11.37.03.083,0.452,0.842,0.214,0.564
1559846223104,2019-06-06T11.37.03.104,0.473,0.845,0.253,0.581
1559846223123,2019-06-06T11.37.03.123,0.492,0.808,0.253,0.608
1559846223142,2019-06-06T11.37.03.142,0.511,0.757,0.223,0.588
1559846223163,2019-06-06T11.37.03.163,0.532,0.711,0.212,0.578
1559846223182,2019-06-06T11.37.03.182,0.551,0.692,0.175,0.548
1559846223202,2019-06-06T11.37.03.202,0.571,0.740,0.190,0.524
1559846223221,2019-06-06T11.37.03.221,0.590,0.729,0.206,0.532
1559846223242,2019-06-06T11.37.03.242,0.611,0.768,0.186,0.558
