epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1559846222697,2019-06-06T11.37.02.697,0.000,0.212,-0.162,1.041
1559846222717,2019-06-06T11.37.02.717,0.020,0.216,-0.153,1.117
1559846222738,2019-06-06T11.37.02.738,0.041,0.188,-0.191,0.972
1559846222758,2019-06-06T11.37.02.758,0.061,0.159,-0.267,0.948
1559846222779,2019-06-06T11.37.02.779,0.082,0.128,-0.262,1.023
1559846222798,2019-06-06T11.37.02.798,0.101,0.118,-0.237,1.034
1559846222818,2019-06-06T11.37.02.818,0.121,0.131,-0.262,0.970
1559846222839,2019-06-06T11.37.02.839,0.142,0.141,-0.277,0.956
1559846222859,2019-06-06T11.37.02.859,0.162,0.130,-0.347,0.774
1559846222880,2019-06-06T11.37.02.880,0.183,0.175,-0.383,0.719
1559846222900,2019-06-06T11.37.02.900,0.203,0.144,-0.367,0.885
1559846222921,2019-06-06T11.37.02.921,0.224,0.029,-0.345,0.848
1559846222940,2019-06-06T11.37.02.940,0.243,-0.068,-0.285,0.822
1559846222960,2019-06-06T11.37.02.960,0.263,-0.024,-0.266,0.880
1559846222981,2019-06-06T11.37.02.981,0.284,0.077,-0.289,0.951
1559846223001,2019-06-06T11.37.03.001,0.304,-0.031,-0.240,0.957
1559846223022,2019-06-06T11.37.03.022,0.325,-0.084,-0.172,0.889
1559846223042,2019-06-06T11.37.03.042,0.345,-0.033,-0.134,0.773
1559846223063,2019-06-06T11.37.03.063,0.366,0.049,-0.110,0.884
1559846223082,2019-06-06T11.37.03.082,0.385,0.092,-0.127,1.005
1559846223102,2019-06-06T11.37.03.102,0.405,0.062,-0.156,1.079
1559846223123,2019-06-06T11.37.03.123,0.426,-0.058,-0.126,1.164
1559846223144,2019-06-06T11.37.03.144,0.447,-0.100,-0.082,1.152
1559846223164,2019-06-06T11.37.03.164,0.467,-0.063,-0.035,1.090
1559846223185,2019-06-06T11.37.03.185,0.488,-0.036,-0.057,1.045
1559846223205,2019-06-06T11.37.03.205,0.508,-0.036,-0.114,1.036
1559846223226,2019-06-06T11.37.03.226,0.529,-0.044,-0.137,1.014
1559846223245,2019-06-06T11.37.03.245,0.548,-0.062,-0.154,1.010
1559846223265,2019-06-06T11.37.03.265,0.568,-0.209,-0.118,0.920
1559846223286,2019-06-06T11.37.03.286,0.589,-0.277,-0.143,1.083
1559846223306,2019-06-06T11.37.03.306,0.609,-0.346,-0.197,0.868
1559846223327,2019-06-06T11.37.03.327,0.630,-0.480,0.055,0.762
1559846223347,2019-06-06T11.37.03.347,0.650,-0.253,-0.278,1.469
1559846223368,2019-06-06T11.37.03.368,0.671,-0.511,-0.142,0.228
1559846223387,2019-06-06T11.37.03.387,0.690,-0.312,-0.183,1.043
1559846223407,2019-06-06T11.37.03.407,0.710,-0.339,-0.376,1.384
1559846223428,2019-06-06T11.37.03.428,0.731,-0.396,-0.209,1.201
1559846223448,2019-06-06T11.37.03.448,0.751,-0.471,-0.198,1.042
1559846223469,2019-06-06T11.37.03.469,0.772,-0.521,-0.206,0.765
1559846223489,2019-06-06T11.37.03.489,0.792,-0.535,-0.330,1.104
1559846223510,2019-06-06T11.37.03.510,0.813,-0.440,-0.199,1.112
1559846223529,2019-06-06T11.37.03.529,0.832,-0.303,-0.001,-1.055
1559846223549,2019-06-06T11.37.03.549,0.852,0.446,-0.775,-0.843
1559846223570,2019-06-06T11.37.03.570,0.873,0.965,0.225,4.082
1559846223590,2019-06-06T11.37.03.590,0.893,0.045,-0.228,1.016
1559846223611,2019-06-06T11.37.03.611,0.914,-0.311,-0.280,0.160
1559846223631,2019-06-06T11.37.03.631,0.934,-0.223,0.184,2.028
1559846223652,2019-06-06T11.37.03.652,0.955,-0.514,-0.248,1.117
1559846223671,2019-06-06T11.37.03.671,0.974,-0.660,-0.128,1.196
1559846223691,2019-06-06T11.37.03.691,0.994,-0.508,-0.218,1.290
1559846223712,2019-06-06T11.37.03.712,1.015,-0.325,-0.250,1.301
1559846223732,2019-06-06T11.37.03.732,1.035,-0.307,-0.315,1.190
1559846223753,2019-06-06T11.37.03.753,1.056,-0.242,-0.448,0.986
1559846223773,2019-06-06T11.37.03.773,1.076,-0.098,-0.516,0.990
1559846223794,2019-06-06T11.37.03.794,1.097,-0.068,-0.447,1.003
1559846223814,2019-06-06T11.37.03.814,1.117,-0.005,-0.415,0.993
1559846223833,2019-06-06T11.37.03.833,1.136,0.031,-0.302,1.047
1559846223854,2019-06-06T11.37.03.854,1.157,0.069,-0.168,1.102
1559846223874,2019-06-06T11.37.03.874,1.177,0.121,-0.143,1.079
1559846223895,2019-06-06T11.37.03.895,1.198,0.105,-0.173,0.944
1559846223915,2019-06-06T11.37.03.915,1.218,0.087,-0.177,0.857
1559846223936,2019-06-06T11.37.03.936,1.239,0.063,-0.167,0.932
1559846223956,2019-06-06T11.37.03.956,1.259,0.091,-0.127,0.975
1559846223976,2019-06-06T11.37.03.976,1.279,0.129,-0.082,0.908
1559846223996,2019-06-06T11.37.03.996,1.299,0.188,-0.124,0.796
1559846224017,2019-06-06T11.37.04.017,1.320,0.248,-0.239,0.803
1559846224037,2019-06-06T11.37.04.037,1.340,0.217,-0.312,0.941
1559846224058,2019-06-06T11.37.04.058,1.361,0.082,-0.177,0.694
1559846224078,2019-06-06T11.37.04.078,1.381,0.229,-0.295,0.848
1559846224099,2019-06-06T11.37.04.099,1.402,0.298,-0.215,0.793
1559846224118,2019-06-06T11.37.04.118,1.421,0.278,-0.351,0.863
1559846224138,2019-06-06T11.37.04.138,1.441,0.302,-0.398,0.931
