epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567334713343,2019-09-01T03:45:13.343,0.000,-0.034,-0.064,1.001
1567334713362,2019-09-01T03:45:13.362,0.019,-0.036,-0.065,1.010
1567334713383,2019-09-01T03:45:13.383,0.040,-0.036,-0.064,1.008
1567334713403,2019-09-01T03:45:13.403,0.060,-0.034,-0.064,1.006
1567334713424,2019-09-01T03:45:13.424,0.081,-0.034,-0.065,1.006
1567334713444,2019-09-01T03:45:13.444,0.101,-0.034,-0.064,1.007
1567334713465,2019-09-01T03:45:13.465,0.122,-0.035,-0.065,1.008
1567334713485,2019-09-01T03:45:13.485,0.142,-0.036,-0.065,1.007
1567334713504,2019-09-01T03:45:13.504,0.161,-0.036,-0.065,1.005
1567334713525,2019-09-01T03:45:13.525,0.182,-0.034,-0.066,1.005
1567334713545,2019-09-01T03:45:13.545,0.202,-0.035,-0.066,1.007
1567334713566,2019-09-01T03:45:13.566,0.223,-0.034,-0.064,1.008
1567334713586,2019-09-01T03:45:13.586,0.243,-0.035,-0.066,1.006
1567334713607,2019-09-01T03:45:13.607,0.264,-0.035,-0.065,1.005
1567334713627,2019-09-01T03:45:13.627,0.284,-0.034,-0.065,1.007
1567334713648,2019-09-01T03:45:13.648,0.305,-0.035,-0.066,1.006
1567334713667,2019-09-01T03:45:13.667,0.324,-0.035,-0.064,1.008
1567334713687,2019-09-01T03:45:13.687,0.344,-0.035,-0.064,1.008
1567334713708,2019-09-01T03:45:13.708,0.365,-0.035,-0.066,1.007
1567334713728,2019-09-01T03:45:13.728,0.385,-0.035,-0.065,1.007
1567334713749,2019-09-01T03:45:13.749,0.406,-0.034,-0.064,1.007
1567334713769,2019-09-01T03:45:13.769,0.426,-0.035,-0.064,1.007
1567334713790,2019-09-01T03:45:13.790,0.447,-0.037,-0.065,1.005
1567334713809,2019-09-01T03:45:13.809,0.466,-0.035,-0.067,1.005
1567334713829,2019-09-01T03:45:13.829,0.486,-0.036,-0.065,1.006
1567334713850,2019-09-01T03:45:13.850,0.507,-0.035,-0.065,1.007
1567334713870,2019-09-01T03:45:13.870,0.527,-0.035,-0.065,1.008
1567334713891,2019-09-01T03:45:13.891,0.548,-0.036,-0.064,1.007
1567334713911,2019-09-01T03:45:13.911,0.568,-0.036,-0.064,1.008
1567334713932,2019-09-01T03:45:13.932,0.589,-0.035,-0.066,1.007
1567334713951,2019-09-01T03:45:13.951,0.608,-0.035,-0.067,1.007
1567334713972,2019-09-01T03:45:13.972,0.629,-0.034,-0.066,1.007
1567334713992,2019-09-01T03:45:13.992,0.649,-0.037,-0.065,1.009
1567334714013,2019-09-01T03:45:14.013,0.670,-0.037,-0.064,1.007
1567334714033,2019-09-01T03:45:14.033,0.690,-0.036,-0.065,1.007
1567334714054,2019-09-01T03:45:14.054,0.711,-0.035,-0.067,1.005
1567334714074,2019-09-01T03:45:14.074,0.731,-0.035,-0.066,1.006
1567334714095,2019-09-01T03:45:14.095,0.752,-0.036,-0.065,1.006
1567334714114,2019-09-01T03:45:14.114,0.771,-0.035,-0.065,1.008
1567334714134,2019-09-01T03:45:14.134,0.791,-0.035,-0.064,1.007
1567334714155,2019-09-01T03:45:14.155,0.812,-0.036,-0.066,1.008
1567334714175,2019-09-01T03:45:14.175,0.832,-0.035,-0.064,1.007
1567334714196,2019-09-01T03:45:14.196,0.853,-0.035,-0.066,1.005
1567334714216,2019-09-01T03:45:14.216,0.873,-0.036,-0.067,1.008
1567334714237,2019-09-01T03:45:14.237,0.894,-0.035,-0.065,1.008
1567334714256,2019-09-01T03:45:14.256,0.913,-0.036,-0.065,1.009
1567334714276,2019-09-01T03:45:14.276,0.933,-0.036,-0.065,1.008
1567334714297,2019-09-01T03:45:14.297,0.954,-0.035,-0.065,1.005
1567334714317,2019-09-01T03:45:14.317,0.974,-0.035,-0.064,1.007
1567334714338,2019-09-01T03:45:14.338,0.995,-0.034,-0.065,1.008
1567334714358,2019-09-01T03:45:14.358,1.015,-0.035,-0.066,1.006
1567334714379,2019-09-01T03:45:14.379,1.036,-0.034,-0.064,1.007
1567334714398,2019-09-01T03:45:14.398,1.055,-0.035,-0.065,1.008
1567334714418,2019-09-01T03:45:14.418,1.075,-0.034,-0.065,1.006
1567334714439,2019-09-01T03:45:14.439,1.096,-0.035,-0.065,1.006
1567334714459,2019-09-01T03:45:14.459,1.116,-0.035,-0.066,1.008
