time,class,class_prop,class_rel,class_prop_rel
154.9,1,1,1,0.91044776119403
155.9,1,1,1,1
156.9,1,1,1,1
157.9,1,0.900497512437811,1,0.865671641791045
158.9,1,0.651741293532338,1,0.616915422885572
159.9,7,0.597014925373134,7,0.631840796019901
160.9,7,0.845771144278607,7,0.880597014925373
161.9,7,1,7,1
162.9,7,1,7,1
163.9,7,1,7,1
164.9,7,1,7,1
165.9,7,1,7,1
166.9,7,1,7,1
167.9,7,1,7,1
168.9,7,1,7,1
169.9,7,1,7,1
170.9,7,1,7,1
171.9,7,1,7,1
172.9,7,1,7,1
173.9,7,1,7,1
174.9,7,1,7,1
175.9,7,1,7,1
176.9,7,1,7,1
177.9,7,1,7,1
178.9,7,1,7,1
179.9,7,1,7,1
180.9,7,1,7,1
181.9,7,1,7,1
182.9,7,1,7,1
183.9,7,1,7,1
184.9,7,1,7,1
185.9,7,1,7,1
186.9,7,1,7,1
187.9,7,1,7,1
188.9,7,1,7,1
189.9,7,1,7,1
190.9,7,1,7,1
191.9,7,1,7,1
192.9,7,1,7,1
193.9,7,1,7,1
194.9,7,1,7,1
195.9,7,1,7,1
196.9,7,1,7,1
197.9,7,1,7,1
198.9,7,1,7,1
199.9,7,1,7,1
200.9,7,1,7,1
201.9,7,1,7,1
202.9,7,1,7,1
203.9,7,1,7,1
204.9,7,1,7,1
205.9,7,1,7,1
206.9,7,1,7,1
207.9,7,1,7,1
208.9,7,1,7,1
209.9,7,1,7,1
210.9,7,1,7,1
211.9,7,1,7,1
212.9,7,1,7,1
213.9,7,1,7,1
214.9,7,1,7,1
215.9,7,1,7,1
216.9,7,1,7,1
217.9,7,1,7,1
218.9,7,1,7,1
219.9,7,1,7,1
220.9,7,1,7,1
221.9,7,1,7,1
222.9,7,1,7,1
223.9,7,1,7,1
224.9,7,1,7,1
225.9,7,1,7,1
226.9,7,1,7,1
227.9,7,1,7,1
228.9,7,1,7,1
229.9,7,1,7,1
230.9,7,1,7,1
231.9,7,1,7,1
232.9,7,1,7,1
233.9,7,1,7,1
234.9,7,1,7,1
235.9,7,1,7,1
236.9,7,1,7,1
237.9,7,1,7,1
238.9,7,1,7,1
239.9,7,1,7,1
240.9,7,1,7,1
241.9,7,1,7,1
242.9,7,1,7,1
243.9,7,1,7,1
244.9,7,1,7,1
245.9,7,1,7,1
246.9,7,1,7,1
247.9,7,1,7,1
248.9,7,1,7,1
249.9,7,1,7,1
250.9,7,1,7,1
251.9,7,1,7,1
252.9,7,1,7,1
253.9,7,1,7,1
254.9,7,1,7,1
255.9,7,1,7,1
256.9,7,1,7,1
257.9,7,1,7,1
258.9,7,1,7,1
259.9,7,1,7,1
260.9,7,1,7,1
261.9,7,1,7,1
262.9,7,1,7,1
263.9,7,1,7,1
264.9,7,1,7,1
265.9,7,1,7,1
266.9,7,1,7,1
267.9,7,1,7,1
268.9,7,1,7,1
269.9,7,1,7,1
270.9,7,1,7,1
271.9,7,1,7,1
272.9,7,1,7,1
273.9,7,1,7,1
274.9,7,1,7,1
275.9,7,1,7,1
276.9,7,1,7,1
277.9,7,1,7,1
278.9,7,1,7,1
279.9,7,1,7,1
280.9,7,1,7,1
281.9,7,1,7,1
282.9,7,1,7,1
283.9,7,1,7,1
284.9,7,1,7,1
285.9,7,1,7,1
286.9,7,1,7,1
287.9,7,1,7,1
288.9,7,1,7,1
289.9,7,1,7,1
290.9,7,1,7,1
291.9,7,1,7,1
292.9,7,1,7,1
293.9,7,1,7,1
294.9,7,1,7,1
295.9,7,1,7,1
296.9,7,1,7,1
297.9,7,1,7,1
298.9,7,1,7,1
299.9,7,1,7,1
300.9,7,1,7,1
301.9,7,1,7,1
302.9,7,1,7,1
303.9,7,1,7,1
304.9,7,1,7,1
305.9,7,1,7,1
306.9,7,1,7,1
307.9,7,1,7,1
308.9,7,1,7,1
309.9,7,1,7,1
310.9,7,1,7,1
311.9,7,1,7,1
312.9,7,1,7,1
313.9,7,1,7,1
314.9,7,1,7,1
315.9,7,1,7,1
316.9,7,1,7,1
317.9,7,1,7,1
318.9,7,1,7,1
319.9,7,1,7,1
320.9,7,1,7,1
321.9,7,1,7,1
322.9,7,1,7,1
323.9,7,1,7,1
324.9,7,1,7,1
325.9,7,1,7,1
326.9,7,1,7,1
327.9,7,1,7,1
328.9,7,1,7,1
329.9,7,1,7,1
330.9,7,1,7,1
331.9,7,1,7,1
332.9,7,1,7,1
333.9,7,1,7,1
334.9,7,1,7,1
335.9,7,1,7,1
336.9,7,1,7,1
337.9,7,1,7,1
338.9,7,1,7,1
339.9,7,1,7,1
340.9,7,1,7,1
341.9,7,1,7,1
342.9,7,1,7,1
343.9,7,1,7,1
344.9,7,1,7,1
345.9,7,1,7,1
346.9,7,1,7,1
347.9,7,1,7,1
348.9,7,1,7,1
349.9,7,1,7,1
350.9,7,1,7,1
351.9,7,1,7,1
352.9,7,1,7,1
353.9,7,1,7,1
354.9,7,1,7,1
355.9,7,1,7,1
356.9,7,1,7,1
357.9,7,1,7,1
358.9,7,1,7,1
359.9,7,1,7,1
360.9,7,1,7,1
361.9,7,1,7,1
362.9,7,1,7,1
363.9,7,1,7,1
364.9,7,1,7,1
365.9,7,1,7,1
366.9,7,1,7,1
367.9,7,1,7,1
368.9,7,1,7,1
369.9,7,1,7,1
370.9,7,1,7,1
371.9,7,1,7,1
372.9,7,1,7,1
373.9,7,1,7,1
374.9,7,1,7,1
375.9,7,1,7,1
376.9,7,1,7,1
377.9,7,1,7,1
378.9,7,1,7,1
379.9,7,1,7,1
380.9,7,1,7,1
381.9,7,1,7,1
382.9,7,1,7,1
383.9,7,1,7,1
384.9,7,1,7,1
385.9,7,1,7,1
386.9,7,1,7,1
387.9,7,1,7,1
388.9,7,1,7,1
389.9,7,1,7,1
390.9,7,1,7,1
391.9,7,1,7,1
392.9,7,1,7,1
393.9,7,1,7,1
394.9,7,1,7,1
395.9,7,1,7,1
396.9,7,1,7,1
397.9,7,1,7,1
398.9,7,1,7,1
399.9,7,1,7,1
400.9,7,1,7,1
401.9,7,1,7,1
402.9,7,1,7,1
403.9,7,1,7,1
404.9,7,1,7,1
405.9,7,1,7,1
406.9,7,1,7,1
407.9,7,1,7,1
408.9,7,1,7,1
409.9,7,1,7,1
410.9,7,1,7,1
411.9,7,1,7,1
412.9,7,1,7,1
413.9,7,1,7,1
414.9,7,1,7,1
415.9,7,1,7,1
416.9,7,1,7,1
417.9,7,1,7,1
418.9,7,1,7,1
419.9,7,1,7,1
420.9,7,1,7,1
421.9,7,1,7,1
422.9,7,1,7,1
423.9,7,1,7,1
424.9,7,1,7,1
425.9,7,1,7,1
426.9,7,1,7,1
427.9,7,1,7,1
428.9,7,1,7,1
429.9,7,1,7,1
430.9,7,1,7,1
431.9,7,1,7,1
432.9,7,1,7,1
433.9,7,1,7,1
434.9,7,1,7,1
435.9,7,1,7,1
436.9,7,1,7,1
437.9,7,1,7,1
438.9,7,1,7,1
439.9,7,1,7,1
440.9,7,1,7,1
441.9,7,1,7,1
442.9,7,1,7,1
443.9,7,1,7,1
444.9,7,1,7,1
445.9,7,1,7,1
446.9,7,1,7,1
447.9,7,1,7,1
448.9,7,1,7,1
449.9,7,1,7,1
450.9,7,1,7,1
451.9,7,1,7,1
452.9,7,1,7,1
453.9,7,1,7,1
454.9,7,1,7,1
455.9,7,1,7,1
456.9,7,1,7,1
457.9,7,1,7,1
458.9,7,1,7,1
459.9,7,1,7,1
460.9,7,1,7,1
461.9,7,1,7,1
462.9,7,1,7,1
463.9,7,1,7,1
464.9,7,1,7,1
465.9,7,1,7,1
466.9,7,1,7,1
467.9,7,1,7,1
468.9,7,1,7,1
469.9,7,1,7,1
470.9,7,1,7,1
471.9,7,1,7,1
472.9,7,1,7,1
473.9,7,1,7,1
474.9,7,1,7,1
475.9,7,1,7,1
476.9,7,1,7,1
477.9,7,1,7,1
478.9,7,1,7,1
479.9,7,1,7,1
480.9,7,1,7,1
481.9,7,1,7,1
482.9,7,1,7,1
483.9,7,1,7,1
484.9,7,0.980099502487562,7,0.82089552238806
485.9,7,0.73134328358209,7,0.572139303482587
486.9,10,0.517412935323383,10,0.676616915422886
487.9,10,0.766169154228856,10,0.925373134328358
488.9,10,1,10,1
489.9,10,1,10,1
490.9,10,1,10,1
491.9,10,1,10,1
492.9,10,1,10,1
493.9,10,1,10,1
494.9,10,1,10,1
495.9,10,1,10,1
496.9,10,1,10,1
497.9,10,1,10,1
498.9,10,1,10,1
499.9,10,1,10,1
500.9,10,1,10,1
501.9,10,1,10,1
502.9,10,1,10,1
503.9,10,1,10,1
504.9,10,1,10,1
505.9,10,1,10,1
506.9,10,1,10,1
507.9,10,1,10,1
508.9,10,1,10,1
509.9,10,1,10,1
510.9,10,1,10,1
511.9,10,1,10,1
512.9,10,1,10,1
513.9,10,1,10,1
514.9,10,1,10,1
515.9,10,1,10,1
516.9,10,1,10,1
517.9,10,1,10,1
518.9,10,1,10,1
519.9,10,1,10,1
520.9,10,1,10,1
521.9,10,1,10,1
522.9,10,1,10,1
523.9,10,1,10,1
524.9,10,1,10,1
525.9,10,1,10,1
526.9,10,1,10,1
527.9,10,1,10,1
528.9,10,1,10,1
529.9,10,1,10,1
530.9,10,1,10,1
531.9,10,1,10,1
532.9,10,1,10,1
533.9,10,1,10,1
534.9,10,1,10,1
535.9,10,1,10,1
536.9,10,1,10,1
537.9,10,1,10,1
538.9,10,1,10,1
539.9,10,1,10,1
540.9,10,1,10,1
541.9,10,1,10,1
542.9,10,0.781094527363184,10,1
543.9,10,0.532338308457711,10,1
544.9,3,0.716417910447761,10,0.845771144278607
545.9,3,0.965174129353234,10,0.597014925373134
546.9,3,1,3,0.651741293532338
547.9,3,0.965174129353234,3,0.845771144278607
548.9,3,0.716417910447761,3,0.696517412935323
549.9,7,0.532338308457711,7,0.552238805970149
550.9,7,0.781094527363184,7,0.800995024875622
551.9,7,1,7,1
552.9,7,1,7,1
553.9,7,1,7,0.781094527363184
554.9,7,1,7,0.532338308457711
555.9,7,1,1,0.716417910447761
556.9,7,1,1,0.965174129353234
557.9,7,1,1,1
558.9,7,0.805970149253731,1,0.800995024875622
559.9,7,0.557213930348259,1,0.552238805970149
560.9,8,0.691542288557214,8,0.696517412935323
