epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1567334706104,2019-09-01T03:45:06.104,0.000,98306.000
1567334706177,2019-09-01T03:45:06.177,0.073,98307.656
1567334706250,2019-09-01T03:45:06.250,0.146,98305.398
1567334706324,2019-09-01T03:45:06.324,0.220,98307.031
1567334706398,2019-09-01T03:45:06.398,0.294,98303.609
1567334706472,2019-09-01T03:45:06.472,0.368,98307.031
1567334706545,2019-09-01T03:45:06.545,0.441,98304.906
1567334706618,2019-09-01T03:45:06.618,0.514,98308.328
1567334706693,2019-09-01T03:45:06.693,0.589,98304.422
1567334706766,2019-09-01T03:45:06.766,0.662,98307.844
1567334706839,2019-09-01T03:45:06.839,0.735,98304.766
1567334706913,2019-09-01T03:45:06.913,0.809,98305.234
1567334706987,2019-09-01T03:45:06.987,0.883,98309.141
1567334707060,2019-09-01T03:45:07.060,0.956,98309.992
1567334707134,2019-09-01T03:45:07.134,1.030,98305.234
1567334707207,2019-09-01T03:45:07.207,1.103,98303.109
1567334707282,2019-09-01T03:45:07.282,1.178,98303.109
1567334707355,2019-09-01T03:45:07.355,1.251,98305.234
1567334707428,2019-09-01T03:45:07.428,1.324,98304.422
1567334707501,2019-09-01T03:45:07.501,1.397,98307.383
1567334707576,2019-09-01T03:45:07.576,1.472,98301.313
1567334707649,2019-09-01T03:45:07.649,1.545,98305.719
1567334707723,2019-09-01T03:45:07.723,1.619,98300.508
1567334707796,2019-09-01T03:45:07.796,1.692,98303.797
1567334707871,2019-09-01T03:45:07.871,1.767,98304.422
1567334707944,2019-09-01T03:45:07.944,1.840,98308.195
1567334708017,2019-09-01T03:45:08.017,1.913,98305.719
1567334708090,2019-09-01T03:45:08.090,1.986,98306.078
1567334708165,2019-09-01T03:45:08.165,2.061,98304.766
1567334708238,2019-09-01T03:45:08.238,2.134,98302.625
1567334708311,2019-09-01T03:45:08.311,2.207,98308.328
1567334708385,2019-09-01T03:45:08.385,2.281,98308.195
1567334708459,2019-09-01T03:45:08.459,2.355,98305.234
1567334708533,2019-09-01T03:45:08.533,2.429,98305.719
1567334708606,2019-09-01T03:45:08.606,2.502,98305.234
1567334708679,2019-09-01T03:45:08.679,2.575,98303.930
1567334708754,2019-09-01T03:45:08.754,2.650,98302.164
1567334708827,2019-09-01T03:45:08.827,2.723,98310.453
1567334708900,2019-09-01T03:45:08.900,2.796,98302.977
1567334708974,2019-09-01T03:45:08.974,2.870,98304.422
1567334709048,2019-09-01T03:45:09.048,2.944,98304.766
1567334709122,2019-09-01T03:45:09.122,3.018,98303.469
1567334709195,2019-09-01T03:45:09.195,3.091,98303.930
1567334709268,2019-09-01T03:45:09.268,3.164,98303.469
1567334709343,2019-09-01T03:45:09.343,3.239,98303.469
1567334709416,2019-09-01T03:45:09.416,3.312,98303.469
1567334709489,2019-09-01T03:45:09.489,3.385,98305.586
1567334709562,2019-09-01T03:45:09.562,3.458,98306.078
1567334709637,2019-09-01T03:45:09.637,3.533,98303.469
1567334709710,2019-09-01T03:45:09.710,3.606,98306.078
1567334709784,2019-09-01T03:45:09.784,3.680,98308.195
1567334709857,2019-09-01T03:45:09.857,3.753,98306.078
1567334709932,2019-09-01T03:45:09.932,3.828,98306.078
1567334710005,2019-09-01T03:45:10.005,3.901,98306.078
1567334710078,2019-09-01T03:45:10.078,3.974,98306.891
1567334710153,2019-09-01T03:45:10.153,4.049,98307.844
1567334710226,2019-09-01T03:45:10.226,4.122,98309.008
1567334710299,2019-09-01T03:45:10.299,4.195,98304.766
1567334710372,2019-09-01T03:45:10.372,4.268,98307.383
1567334710447,2019-09-01T03:45:10.447,4.343,98308.195
1567334710520,2019-09-01T03:45:10.520,4.416,98307.383
1567334710594,2019-09-01T03:45:10.594,4.490,98308.195
1567334710668,2019-09-01T03:45:10.668,4.564,98309.500
1567334710742,2019-09-01T03:45:10.742,4.638,98310.805
1567334710815,2019-09-01T03:45:10.815,4.711,98305.586
1567334710890,2019-09-01T03:45:10.890,4.786,98304.766
1567334710963,2019-09-01T03:45:10.963,4.859,98309.992
1567334711036,2019-09-01T03:45:11.036,4.932,98304.766
1567334711109,2019-09-01T03:45:11.109,5.005,98310.453
1567334711184,2019-09-01T03:45:11.184,5.080,98308.688
1567334711257,2019-09-01T03:45:11.257,5.153,98302.164
1567334711330,2019-09-01T03:45:11.330,5.226,98304.281
1567334711404,2019-09-01T03:45:11.404,5.300,98309.500
1567334711478,2019-09-01T03:45:11.478,5.374,98306.078
1567334711552,2019-09-01T03:45:11.552,5.448,98309.992
1567334711625,2019-09-01T03:45:11.625,5.521,98306.078
1567334711698,2019-09-01T03:45:11.698,5.594,98309.500
1567334711773,2019-09-01T03:45:11.773,5.669,98304.281
1567334711846,2019-09-01T03:45:11.846,5.742,98308.195
1567334711919,2019-09-01T03:45:11.919,5.815,98309.008
1567334711993,2019-09-01T03:45:11.993,5.889,98308.688
1567334712067,2019-09-01T03:45:12.067,5.963,98304.766
1567334712141,2019-09-01T03:45:12.141,6.037,98309.500
1567334712214,2019-09-01T03:45:12.214,6.110,98308.688
1567334712287,2019-09-01T03:45:12.287,6.183,98306.078
1567334712362,2019-09-01T03:45:12.362,6.258,98307.703
1567334712435,2019-09-01T03:45:12.435,6.331,98303.930
1567334712508,2019-09-01T03:45:12.508,6.404,98305.586
1567334712581,2019-09-01T03:45:12.581,6.477,98307.703
1567334712656,2019-09-01T03:45:12.656,6.552,98302.164
1567334712729,2019-09-01T03:45:12.729,6.625,98306.078
1567334712803,2019-09-01T03:45:12.803,6.699,98305.586
1567334712876,2019-09-01T03:45:12.876,6.772,98307.383
1567334712951,2019-09-01T03:45:12.951,6.847,98306.891
1567334713024,2019-09-01T03:45:13.024,6.920,98304.281
1567334713097,2019-09-01T03:45:13.097,6.993,98306.398
1567334713170,2019-09-01T03:45:13.170,7.066,98306.398
1567334713245,2019-09-01T03:45:13.245,7.141,98308.195
1567334713318,2019-09-01T03:45:13.318,7.214,98304.281
1567334713392,2019-09-01T03:45:13.392,7.288,98309.828
1567334713465,2019-09-01T03:45:13.465,7.361,98309.008
1567334713539,2019-09-01T03:45:13.539,7.435,98310.313
1567334713613,2019-09-01T03:45:13.613,7.509,98308.688
1567334713686,2019-09-01T03:45:13.686,7.582,98302.977
1567334713759,2019-09-01T03:45:13.759,7.655,98307.383
1567334713834,2019-09-01T03:45:13.834,7.730,98309.992
1567334713907,2019-09-01T03:45:13.907,7.803,98308.195
1567334713980,2019-09-01T03:45:13.980,7.876,98310.805
1567334714055,2019-09-01T03:45:14.055,7.951,98306.398
1567334714128,2019-09-01T03:45:14.128,8.024,98309.992
1567334714202,2019-09-01T03:45:14.202,8.098,98309.008
1567334714275,2019-09-01T03:45:14.275,8.171,98304.766
1567334714350,2019-09-01T03:45:14.350,8.246,98307.383
1567334714423,2019-09-01T03:45:14.423,8.319,98304.281
1567334714496,2019-09-01T03:45:14.496,8.392,98303.797
1567334714569,2019-09-01T03:45:14.569,8.465,98305.094
1567334714644,2019-09-01T03:45:14.644,8.540,98311.617
1567334714717,2019-09-01T03:45:14.717,8.613,98305.094
1567334714790,2019-09-01T03:45:14.790,8.686,98310.313
1567334714865,2019-09-01T03:45:14.865,8.761,98307.219
1567334714938,2019-09-01T03:45:14.938,8.834,98302.977
1567334715012,2019-09-01T03:45:15.012,8.908,98310.313
1567334715085,2019-09-01T03:45:15.085,8.981,98305.094
1567334715160,2019-09-01T03:45:15.160,9.056,98309.008
1567334715233,2019-09-01T03:45:15.233,9.129,98306.398
1567334715306,2019-09-01T03:45:15.306,9.202,98305.094
1567334715379,2019-09-01T03:45:15.379,9.275,98306.891
1567334715454,2019-09-01T03:45:15.454,9.350,98306.398
1567334715527,2019-09-01T03:45:15.527,9.423,98305.586
1567334715601,2019-09-01T03:45:15.601,9.497,98305.586
1567334715674,2019-09-01T03:45:15.674,9.570,98312.430
1567334715748,2019-09-01T03:45:15.748,9.644,98307.383
1567334715822,2019-09-01T03:45:15.822,9.718,98307.383
1567334715895,2019-09-01T03:45:15.895,9.791,98307.219
1567334715968,2019-09-01T03:45:15.968,9.864,98308.195
1567334716043,2019-09-01T03:45:16.043,9.939,98306.891
1567334716116,2019-09-01T03:45:16.116,10.012,98310.805
1567334716189,2019-09-01T03:45:16.189,10.085,98305.094
1567334716263,2019-09-01T03:45:16.263,10.159,98310.805
1567334716337,2019-09-01T03:45:16.337,10.233,98309.992
1567334716411,2019-09-01T03:45:16.411,10.307,98310.313
1567334716484,2019-09-01T03:45:16.484,10.380,98310.805
1567334716559,2019-09-01T03:45:16.559,10.455,98310.313
1567334716632,2019-09-01T03:45:16.632,10.528,98308.688
1567334716705,2019-09-01T03:45:16.705,10.601,98307.703
1567334716778,2019-09-01T03:45:16.778,10.674,98312.109
1567334716851,2019-09-01T03:45:16.851,10.747,98307.383
1567334716926,2019-09-01T03:45:16.926,10.822,98309.008
1567334716999,2019-09-01T03:45:16.999,10.895,98306.078
1567334717073,2019-09-01T03:45:17.073,10.969,98307.703
1567334717146,2019-09-01T03:45:17.146,11.042,98302.977
1567334717221,2019-09-01T03:45:17.221,11.117,98303.469
1567334717294,2019-09-01T03:45:17.294,11.190,98306.891
1567334717367,2019-09-01T03:45:17.367,11.263,98306.078
1567334717440,2019-09-01T03:45:17.440,11.336,98307.703
1567334717515,2019-09-01T03:45:17.515,11.411,98304.766
1567334717588,2019-09-01T03:45:17.588,11.484,98306.398
1567334717662,2019-09-01T03:45:17.662,11.558,98309.828
1567334717735,2019-09-01T03:45:17.735,11.631,98309.500
1567334717809,2019-09-01T03:45:17.809,11.705,98303.469
1567334717883,2019-09-01T03:45:17.883,11.779,98305.094
1567334717956,2019-09-01T03:45:17.956,11.852,98302.977
1567334718029,2019-09-01T03:45:18.029,11.925,98303.797
1567334718104,2019-09-01T03:45:18.104,12.000,98306.398
1567334718177,2019-09-01T03:45:18.177,12.073,98306.078
1567334718250,2019-09-01T03:45:18.250,12.146,98310.313
1567334718324,2019-09-01T03:45:18.324,12.220,98308.195
1567334718398,2019-09-01T03:45:18.398,12.294,98307.383
1567334718472,2019-09-01T03:45:18.472,12.368,98309.500
1567334718545,2019-09-01T03:45:18.545,12.441,98308.195
1567334718618,2019-09-01T03:45:18.618,12.514,98306.891
1567334718693,2019-09-01T03:45:18.693,12.589,98308.195
1567334718766,2019-09-01T03:45:18.766,12.662,98308.195
1567334718839,2019-09-01T03:45:18.839,12.735,98309.008
1567334718913,2019-09-01T03:45:18.913,12.809,98310.313
1567334718987,2019-09-01T03:45:18.987,12.883,98306.891
1567334719060,2019-09-01T03:45:19.060,12.956,98309.828
1567334719134,2019-09-01T03:45:19.134,13.030,98305.094
1567334719207,2019-09-01T03:45:19.207,13.103,98309.008
1567334719282,2019-09-01T03:45:19.282,13.178,98306.891
1567334719355,2019-09-01T03:45:19.355,13.251,98306.398
1567334719428,2019-09-01T03:45:19.428,13.324,98304.766
1567334719501,2019-09-01T03:45:19.501,13.397,98310.313
1567334719576,2019-09-01T03:45:19.576,13.472,98306.398
1567334719649,2019-09-01T03:45:19.649,13.545,98307.703
1567334719723,2019-09-01T03:45:19.723,13.619,98309.008
1567334719796,2019-09-01T03:45:19.796,13.692,98314.578
1567334719871,2019-09-01T03:45:19.871,13.767,98306.398
