epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1565422456248,2019-08-10T00:34:16.248,0.000,97723.688
1565422456321,2019-08-10T00:34:16.321,0.073,97728.938
1565422456396,2019-08-10T00:34:16.396,0.148,97722.547
1565422456469,2019-08-10T00:34:16.469,0.221,97720.227
1565422456542,2019-08-10T00:34:16.542,0.294,97725.805
1565422456616,2019-08-10T00:34:16.616,0.368,97722.375
1565422456690,2019-08-10T00:34:16.690,0.442,97728.430
1565422456764,2019-08-10T00:34:16.764,0.516,97727.117
1565422456837,2019-08-10T00:34:16.837,0.589,97717.938
1565422456910,2019-08-10T00:34:16.910,0.662,97725.805
1565422456985,2019-08-10T00:34:16.985,0.737,97723.992
1565422457058,2019-08-10T00:34:17.058,0.810,97722.680
1565422457131,2019-08-10T00:34:17.131,0.883,97722.172
1565422457205,2019-08-10T00:34:17.205,0.957,97726.609
1565422457279,2019-08-10T00:34:17.279,1.031,97725.297
1565422457353,2019-08-10T00:34:17.353,1.105,97731.859
1565422457426,2019-08-10T00:34:17.426,1.178,97726.609
1565422457500,2019-08-10T00:34:17.500,1.252,97724.328
1565422457574,2019-08-10T00:34:17.574,1.326,97728.734
1565422457647,2019-08-10T00:34:17.647,1.399,97724.797
1565422457720,2019-08-10T00:34:17.720,1.472,97723.484
1565422457793,2019-08-10T00:34:17.793,1.545,97724.797
1565422457868,2019-08-10T00:34:17.868,1.620,97729.234
1565422457941,2019-08-10T00:34:17.941,1.693,97728.734
1565422458015,2019-08-10T00:34:18.015,1.767,97728.734
1565422458088,2019-08-10T00:34:18.088,1.840,97724.797
1565422458163,2019-08-10T00:34:18.163,1.915,97723.484
1565422458236,2019-08-10T00:34:18.236,1.988,97722.172
1565422458309,2019-08-10T00:34:18.309,2.061,97726.945
1565422458384,2019-08-10T00:34:18.384,2.136,97726.945
1565422458457,2019-08-10T00:34:18.457,2.209,97725.133
1565422458530,2019-08-10T00:34:18.530,2.282,97727.422
1565422458604,2019-08-10T00:34:18.604,2.356,97723.992
1565422458678,2019-08-10T00:34:18.678,2.430,97723.016
1565422458751,2019-08-10T00:34:18.751,2.503,97722.508
1565422458825,2019-08-10T00:34:18.825,2.577,97723.016
1565422458898,2019-08-10T00:34:18.898,2.650,97726.945
1565422458973,2019-08-10T00:34:18.973,2.725,97726.438
1565422459046,2019-08-10T00:34:19.046,2.798,97725.133
1565422459119,2019-08-10T00:34:19.119,2.871,97724.797
1565422459192,2019-08-10T00:34:19.192,2.944,97724.328
1565422459267,2019-08-10T00:34:19.267,3.019,97724.797
1565422459340,2019-08-10T00:34:19.340,3.092,97728.258
1565422459414,2019-08-10T00:34:19.414,3.166,97724.797
1565422459487,2019-08-10T00:34:19.487,3.239,97724.328
1565422459562,2019-08-10T00:34:19.562,3.314,97726.438
1565422459635,2019-08-10T00:34:19.635,3.387,97730.883
1565422459708,2019-08-10T00:34:19.708,3.460,97725.133
1565422459781,2019-08-10T00:34:19.781,3.533,97723.992
1565422459856,2019-08-10T00:34:19.856,3.608,97727.422
1565422459929,2019-08-10T00:34:19.929,3.681,97730.375
1565422460002,2019-08-10T00:34:20.002,3.754,97725.133
1565422460076,2019-08-10T00:34:20.076,3.828,97727.422
1565422460150,2019-08-10T00:34:20.150,3.902,97722.172
1565422460224,2019-08-10T00:34:20.224,3.976,97723.313
1565422460297,2019-08-10T00:34:20.297,4.049,97723.820
1565422460370,2019-08-10T00:34:20.370,4.122,97724.125
1565422460445,2019-08-10T00:34:20.445,4.197,97722.172
1565422460518,2019-08-10T00:34:20.518,4.270,97727.250
1565422460591,2019-08-10T00:34:20.591,4.343,97727.750
1565422460665,2019-08-10T00:34:20.665,4.417,97721.203
1565422460739,2019-08-10T00:34:20.739,4.491,97723.820
1565422460812,2019-08-10T00:34:20.812,4.564,97725.938
1565422460886,2019-08-10T00:34:20.886,4.638,97725.133
1565422460959,2019-08-10T00:34:20.959,4.711,97725.133
1565422461034,2019-08-10T00:34:21.034,4.786,97724.328
1565422461107,2019-08-10T00:34:21.107,4.859,97722.508
1565422461180,2019-08-10T00:34:21.180,4.932,97723.820
1565422461253,2019-08-10T00:34:21.253,5.005,97726.750
1565422461328,2019-08-10T00:34:21.328,5.080,97723.820
1565422461401,2019-08-10T00:34:21.401,5.153,97726.438
1565422461475,2019-08-10T00:34:21.475,5.227,97725.133
1565422461548,2019-08-10T00:34:21.548,5.300,97724.625
1565422461623,2019-08-10T00:34:21.623,5.375,97723.820
1565422461696,2019-08-10T00:34:21.696,5.448,97720.695
1565422461769,2019-08-10T00:34:21.769,5.521,97725.133
1565422461842,2019-08-10T00:34:21.842,5.594,97723.820
1565422461917,2019-08-10T00:34:21.917,5.669,97722.508
1565422461990,2019-08-10T00:34:21.990,5.742,97730.375
1565422462063,2019-08-10T00:34:22.063,5.815,97722.508
1565422462137,2019-08-10T00:34:22.137,5.889,97726.438
1565422462211,2019-08-10T00:34:22.211,5.963,97731.188
1565422462285,2019-08-10T00:34:22.285,6.037,97721.203
1565422462358,2019-08-10T00:34:22.358,6.110,97727.750
1565422462431,2019-08-10T00:34:22.431,6.183,97725.938
1565422462506,2019-08-10T00:34:22.506,6.258,97725.938
1565422462579,2019-08-10T00:34:22.579,6.331,97720.391
1565422462652,2019-08-10T00:34:22.652,6.404,97727.750
1565422462726,2019-08-10T00:34:22.726,6.478,97724.125
1565422462800,2019-08-10T00:34:22.800,6.552,97729.063
1565422462874,2019-08-10T00:34:22.874,6.626,97725.938
1565422462947,2019-08-10T00:34:22.947,6.699,97724.125
1565422463020,2019-08-10T00:34:23.020,6.772,97729.367
1565422463095,2019-08-10T00:34:23.095,6.847,97724.125
1565422463168,2019-08-10T00:34:23.168,6.920,97724.125
1565422463241,2019-08-10T00:34:23.241,6.993,97724.625
1565422463314,2019-08-10T00:34:23.314,7.066,97729.875
1565422463389,2019-08-10T00:34:23.389,7.141,97731.188
1565422463462,2019-08-10T00:34:23.462,7.214,97725.133
1565422463536,2019-08-10T00:34:23.536,7.288,97727.250
1565422463609,2019-08-10T00:34:23.609,7.361,97725.438
1565422463684,2019-08-10T00:34:23.684,7.436,97723.820
1565422463757,2019-08-10T00:34:23.757,7.509,97724.625
1565422463830,2019-08-10T00:34:23.830,7.582,97727.250
1565422463903,2019-08-10T00:34:23.903,7.655,97724.625
1565422463978,2019-08-10T00:34:23.978,7.730,97724.125
1565422464051,2019-08-10T00:34:24.051,7.803,97723.820
1565422464124,2019-08-10T00:34:24.124,7.876,97726.750
1565422464198,2019-08-10T00:34:24.198,7.950,97727.250
1565422464272,2019-08-10T00:34:24.272,8.024,97729.367
1565422464346,2019-08-10T00:34:24.346,8.098,97726.750
1565422464419,2019-08-10T00:34:24.419,8.171,97729.367
1565422464492,2019-08-10T00:34:24.492,8.244,97725.438
1565422464567,2019-08-10T00:34:24.567,8.319,97730.375
1565422464640,2019-08-10T00:34:24.640,8.392,97724.125
1565422464713,2019-08-10T00:34:24.713,8.465,97726.750
1565422464787,2019-08-10T00:34:24.787,8.539,97724.125
