epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1565447788724,2019-08-10T07:36:28.724,0.000,98137.383
1565447788797,2019-08-10T07:36:28.797,0.073,98132.984
1565447788870,2019-08-10T07:36:28.870,0.146,98134.664
1565447788945,2019-08-10T07:36:28.945,0.221,98131.578
1565447789018,2019-08-10T07:36:29.018,0.294,98130.266
1565447789091,2019-08-10T07:36:29.091,0.367,98130.266
1565447789165,2019-08-10T07:36:29.165,0.441,98132.438
1565447789239,2019-08-10T07:36:29.239,0.515,98135.039
1565447789312,2019-08-10T07:36:29.312,0.588,98136.719
1565447789386,2019-08-10T07:36:29.386,0.662,98132.438
1565447789459,2019-08-10T07:36:29.459,0.735,98134.938
1565447789534,2019-08-10T07:36:29.534,0.810,98130.203
1565447789607,2019-08-10T07:36:29.607,0.883,98134.563
1565447789680,2019-08-10T07:36:29.680,0.956,98135.305
1565447789753,2019-08-10T07:36:29.753,1.029,98134.109
1565447789828,2019-08-10T07:36:29.828,1.104,98130.203
1565447789901,2019-08-10T07:36:29.901,1.177,98130.203
1565447789975,2019-08-10T07:36:29.975,1.251,98134.938
1565447790048,2019-08-10T07:36:30.048,1.324,98134.109
1565447790123,2019-08-10T07:36:30.123,1.399,98134.938
1565447790196,2019-08-10T07:36:30.196,1.472,98139.328
1565447790269,2019-08-10T07:36:30.269,1.545,98134.000
1565447790342,2019-08-10T07:36:30.342,1.618,98131.500
1565447790417,2019-08-10T07:36:30.417,1.693,98134.859
1565447790490,2019-08-10T07:36:30.490,1.766,98138.844
1565447790563,2019-08-10T07:36:30.563,1.839,98136.609
1565447790637,2019-08-10T07:36:30.637,1.913,98132.250
1565447790711,2019-08-10T07:36:30.711,1.987,98131.500
1565447790785,2019-08-10T07:36:30.785,2.061,98137.469
1565447790858,2019-08-10T07:36:30.858,2.134,98137.469
1565447790931,2019-08-10T07:36:30.931,2.207,98132.328
1565447791006,2019-08-10T07:36:31.006,2.282,98133.188
1565447791079,2019-08-10T07:36:31.079,2.355,98134.859
1565447791152,2019-08-10T07:36:31.152,2.428,98131.016
1565447791226,2019-08-10T07:36:31.226,2.502,98135.680
1565447791300,2019-08-10T07:36:31.300,2.576,98136.156
1565447791374,2019-08-10T07:36:31.374,2.650,98136.156
1565447791447,2019-08-10T07:36:31.447,2.723,98133.555
1565447791520,2019-08-10T07:36:31.520,2.796,98134.859
1565447791595,2019-08-10T07:36:31.595,2.871,98135.680
1565447791668,2019-08-10T07:36:31.668,2.944,98136.984
1565447791741,2019-08-10T07:36:31.741,3.017,98133.555
1565447791814,2019-08-10T07:36:31.814,3.090,98134.000
1565447791889,2019-08-10T07:36:31.889,3.165,98133.078
1565447791962,2019-08-10T07:36:31.962,3.238,98133.930
1565447792036,2019-08-10T07:36:32.036,3.312,98134.859
1565447792109,2019-08-10T07:36:32.109,3.385,98140.453
1565447792184,2019-08-10T07:36:32.184,3.460,98135.680
1565447792257,2019-08-10T07:36:32.257,3.533,98133.930
1565447792330,2019-08-10T07:36:32.330,3.606,98134.375
1565447792403,2019-08-10T07:36:32.403,3.679,98130.945
1565447792478,2019-08-10T07:36:32.478,3.754,98132.250
1565447792551,2019-08-10T07:36:32.551,3.827,98130.945
1565447792624,2019-08-10T07:36:32.624,3.900,98133.078
1565447792698,2019-08-10T07:36:32.698,3.974,98137.844
1565447792772,2019-08-10T07:36:32.772,4.048,98130.469
1565447792846,2019-08-10T07:36:32.846,4.122,98133.078
1565447792919,2019-08-10T07:36:32.919,4.195,98135.680
1565447792994,2019-08-10T07:36:32.994,4.270,98128.336
1565447793067,2019-08-10T07:36:33.067,4.343,98133.078
1565447793140,2019-08-10T07:36:33.140,4.416,98133.078
1565447793213,2019-08-10T07:36:33.213,4.489,98133.555
1565447793288,2019-08-10T07:36:33.288,4.564,98131.320
1565447793361,2019-08-10T07:36:33.361,4.637,98130.836
1565447793435,2019-08-10T07:36:33.435,4.711,98130.016
1565447793508,2019-08-10T07:36:33.508,4.784,98131.320
1565447793583,2019-08-10T07:36:33.583,4.859,98133.453
1565447793656,2019-08-10T07:36:33.656,4.932,98133.930
1565447793729,2019-08-10T07:36:33.729,5.005,98132.141
1565447793802,2019-08-10T07:36:33.802,5.078,98132.625
1565447793877,2019-08-10T07:36:33.877,5.153,98139.859
1565447793950,2019-08-10T07:36:33.950,5.226,98139.969
1565447794023,2019-08-10T07:36:34.023,5.299,98137.844
1565447794097,2019-08-10T07:36:34.097,5.373,98139.141
1565447794171,2019-08-10T07:36:34.171,5.447,98133.453
1565447794245,2019-08-10T07:36:34.245,5.521,98127.859
1565447794318,2019-08-10T07:36:34.318,5.594,98132.141
1565447794391,2019-08-10T07:36:34.391,5.667,98136.055
1565447794466,2019-08-10T07:36:34.466,5.742,98132.141
1565447794539,2019-08-10T07:36:34.539,5.815,98134.297
1565447794612,2019-08-10T07:36:34.612,5.888,98132.141
1565447794686,2019-08-10T07:36:34.686,5.962,98136.422
1565447794760,2019-08-10T07:36:34.760,6.036,98135.125
1565447794833,2019-08-10T07:36:34.833,6.109,98135.125
1565447794907,2019-08-10T07:36:34.907,6.183,98139.031
1565447794980,2019-08-10T07:36:34.980,6.256,98133.820
1565447795055,2019-08-10T07:36:35.055,6.331,98139.516
1565447795128,2019-08-10T07:36:35.128,6.404,98138.555
1565447795201,2019-08-10T07:36:35.201,6.477,98140.820
1565447795274,2019-08-10T07:36:35.274,6.550,98125.617
1565447795349,2019-08-10T07:36:35.349,6.625,98130.836
1565447795422,2019-08-10T07:36:35.422,6.698,98131.211
1565447795496,2019-08-10T07:36:35.496,6.772,98125.992
1565447795569,2019-08-10T07:36:35.569,6.845,98135.609
1565447795644,2019-08-10T07:36:35.644,6.920,98136.055
1565447795717,2019-08-10T07:36:35.717,6.993,98142.125
1565447795790,2019-08-10T07:36:35.790,7.066,98133.344
1565447795863,2019-08-10T07:36:35.863,7.139,98131.211
1565447795938,2019-08-10T07:36:35.938,7.214,98142.016
1565447796011,2019-08-10T07:36:36.011,7.287,98131.695
1565447796084,2019-08-10T07:36:36.084,7.360,98131.211
1565447796158,2019-08-10T07:36:36.158,7.434,98141.164
1565447796232,2019-08-10T07:36:36.232,7.508,98148.172
1565447796306,2019-08-10T07:36:36.306,7.582,98138.555
1565447796379,2019-08-10T07:36:36.379,7.655,98130.734
1565447796452,2019-08-10T07:36:36.452,7.728,98126.813
1565447796527,2019-08-10T07:36:36.527,7.803,98128.602
1565447796600,2019-08-10T07:36:36.600,7.876,98132.406
1565447796673,2019-08-10T07:36:36.673,7.949,98128.602
1565447796747,2019-08-10T07:36:36.747,8.023,98134.195
1565447796821,2019-08-10T07:36:36.821,8.097,98128.125
1565447796895,2019-08-10T07:36:36.895,8.171,98128.867
1565447796968,2019-08-10T07:36:36.968,8.244,98128.977
1565447797041,2019-08-10T07:36:37.041,8.317,98130.281
1565447797116,2019-08-10T07:36:37.116,8.392,98126.813
1565447797189,2019-08-10T07:36:37.189,8.465,98126.734
1565447797262,2019-08-10T07:36:37.262,8.538,98130.172
1565447797335,2019-08-10T07:36:37.335,8.611,98124.953
1565447797410,2019-08-10T07:36:37.410,8.686,98132.328
1565447797483,2019-08-10T07:36:37.483,8.759,98129.422
1565447797557,2019-08-10T07:36:37.557,8.833,98122.453
1565447797630,2019-08-10T07:36:37.630,8.906,98120.672
1565447797705,2019-08-10T07:36:37.705,8.981,98128.867
1565447797778,2019-08-10T07:36:37.778,9.054,98128.977
1565447797851,2019-08-10T07:36:37.851,9.127,98127.672
1565447797924,2019-08-10T07:36:37.924,9.200,98129.797
1565447797999,2019-08-10T07:36:37.999,9.275,98128.867
1565447798072,2019-08-10T07:36:38.072,9.348,98126.367
1565447798145,2019-08-10T07:36:38.145,9.421,98129.719
1565447798219,2019-08-10T07:36:38.219,9.495,98128.867
1565447798293,2019-08-10T07:36:38.293,9.569,98128.867
1565447798367,2019-08-10T07:36:38.367,9.643,98129.719
1565447798440,2019-08-10T07:36:38.440,9.716,98129.719
1565447798513,2019-08-10T07:36:38.513,9.789,98129.719
1565447798588,2019-08-10T07:36:38.588,9.864,98129.719
1565447798661,2019-08-10T07:36:38.661,9.937,98127.109
1565447798734,2019-08-10T07:36:38.734,10.010,98122.344
1565447798808,2019-08-10T07:36:38.808,10.084,98124.133
1565447798882,2019-08-10T07:36:38.882,10.158,98124.953
1565447798956,2019-08-10T07:36:38.956,10.232,98127.109
1565447799029,2019-08-10T07:36:39.029,10.305,98129.719
1565447799102,2019-08-10T07:36:39.102,10.378,98125.328
1565447799177,2019-08-10T07:36:39.177,10.453,98130.922
1565447799250,2019-08-10T07:36:39.250,10.526,98127.484
1565447799323,2019-08-10T07:36:39.323,10.599,98125.328
1565447799396,2019-08-10T07:36:39.396,10.672,98129.609
1565447799471,2019-08-10T07:36:39.471,10.747,98126.188
1565447799544,2019-08-10T07:36:39.544,10.820,98128.797
1565447799618,2019-08-10T07:36:39.618,10.894,98134.828
1565447799691,2019-08-10T07:36:39.691,10.967,98131.773
1565447799766,2019-08-10T07:36:39.766,11.042,98128.797
1565447799839,2019-08-10T07:36:39.839,11.115,98129.609
1565447799912,2019-08-10T07:36:39.912,11.188,98129.609
1565447799985,2019-08-10T07:36:39.985,11.261,98127.008
1565447800060,2019-08-10T07:36:40.060,11.336,98131.328
1565447800133,2019-08-10T07:36:40.133,11.409,98126.109
1565447800207,2019-08-10T07:36:40.207,11.483,98129.609
1565447800281,2019-08-10T07:36:40.281,11.557,98128.719
1565447800354,2019-08-10T07:36:40.354,11.630,98133.078
1565447800428,2019-08-10T07:36:40.428,11.704,98130.469
1565447800501,2019-08-10T07:36:40.501,11.777,98131.328
1565447800576,2019-08-10T07:36:40.576,11.852,98127.781
1565447800649,2019-08-10T07:36:40.649,11.925,98128.719
1565447800722,2019-08-10T07:36:40.722,11.998,98131.703
1565447800795,2019-08-10T07:36:40.795,12.071,98128.719
1565447800870,2019-08-10T07:36:40.870,12.146,98128.266
1565447800943,2019-08-10T07:36:40.943,12.219,98125.656
1565447801017,2019-08-10T07:36:41.017,12.293,98130.875
1565447801090,2019-08-10T07:36:41.090,12.366,98130.391
1565447801165,2019-08-10T07:36:41.165,12.441,98128.609
1565447801238,2019-08-10T07:36:41.238,12.514,98130.391
1565447801311,2019-08-10T07:36:41.311,12.587,98128.609
1565447801384,2019-08-10T07:36:41.384,12.660,98131.219
1565447801459,2019-08-10T07:36:41.459,12.735,98128.609
1565447801532,2019-08-10T07:36:41.532,12.808,98130.289
1565447801605,2019-08-10T07:36:41.605,12.881,98130.766
1565447801679,2019-08-10T07:36:41.679,12.955,98124.250
1565447801753,2019-08-10T07:36:41.753,13.029,98128.984
1565447801827,2019-08-10T07:36:41.827,13.103,98135.055
1565447801900,2019-08-10T07:36:41.900,13.176,98133.750
1565447801975,2019-08-10T07:36:41.975,13.251,98131.594
1565447802048,2019-08-10T07:36:42.048,13.324,98130.289
1565447802121,2019-08-10T07:36:42.121,13.397,98130.211
1565447802194,2019-08-10T07:36:42.194,13.470,98132.891
1565447802269,2019-08-10T07:36:42.269,13.545,98133.266
1565447802342,2019-08-10T07:36:42.342,13.618,98132.820
1565447802416,2019-08-10T07:36:42.416,13.692,98127.680
1565447802489,2019-08-10T07:36:42.489,13.765,98127.602
1565447802563,2019-08-10T07:36:42.563,13.839,98135.422
1565447802637,2019-08-10T07:36:42.637,13.913,98128.047
1565447802710,2019-08-10T07:36:42.710,13.986,98132.336
1565447802783,2019-08-10T07:36:42.783,14.059,98118.469
1565447802858,2019-08-10T07:36:42.858,14.134,98135.422
1565447802931,2019-08-10T07:36:42.931,14.207,98139.719
1565447803004,2019-08-10T07:36:43.004,14.280,98142.328
1565447803078,2019-08-10T07:36:43.078,14.354,98135.797
1565447803152,2019-08-10T07:36:43.152,14.428,98137.922
1565447803226,2019-08-10T07:36:43.226,14.502,98119.219
1565447803299,2019-08-10T07:36:43.299,14.575,98139.234
1565447803372,2019-08-10T07:36:43.372,14.648,98138.781
1565447803447,2019-08-10T07:36:43.447,14.723,98134.016
1565447803520,2019-08-10T07:36:43.520,14.796,98130.953
1565447803593,2019-08-10T07:36:43.593,14.869,98123.500
1565447803666,2019-08-10T07:36:43.666,14.942,98121.344
1565447803741,2019-08-10T07:36:43.741,15.017,98128.719
1565447803814,2019-08-10T07:36:43.814,15.090,98129.172
1565447803888,2019-08-10T07:36:43.888,15.164,98138.297
1565447803962,2019-08-10T07:36:43.962,15.238,98146.984
1565447804036,2019-08-10T07:36:44.036,15.312,98136.547
1565447804109,2019-08-10T07:36:44.109,15.385,98138.188
1565447804182,2019-08-10T07:36:44.182,15.458,98142.109
1565447804257,2019-08-10T07:36:44.257,15.533,98136.891
1565447804330,2019-08-10T07:36:44.330,15.606,98139.500
1565447804403,2019-08-10T07:36:44.403,15.679,98139.500
1565447804477,2019-08-10T07:36:44.477,15.753,98139.047
1565447804551,2019-08-10T07:36:44.551,15.827,98130.844
1565447804624,2019-08-10T07:36:44.624,15.900,98126.453
1565447804698,2019-08-10T07:36:44.698,15.974,98134.656
1565447804771,2019-08-10T07:36:44.771,16.047,98132.047
1565447804846,2019-08-10T07:36:44.846,16.122,98132.523
1565447804919,2019-08-10T07:36:44.919,16.195,98126.000
1565447804992,2019-08-10T07:36:44.992,16.268,98130.734
1565447805065,2019-08-10T07:36:45.065,16.341,98126.375
1565447805140,2019-08-10T07:36:45.140,16.416,98129.438
1565447805213,2019-08-10T07:36:45.213,16.489,98129.813
1565447805287,2019-08-10T07:36:45.287,16.563,98123.281
1565447805360,2019-08-10T07:36:45.360,16.636,98128.055
1565447805435,2019-08-10T07:36:45.435,16.711,98131.109
1565447805508,2019-08-10T07:36:45.508,16.784,98130.297
1565447805581,2019-08-10T07:36:45.581,16.857,98126.266
1565447805654,2019-08-10T07:36:45.654,16.930,98124.961
1565447805729,2019-08-10T07:36:45.729,17.005,98127.570
1565447805802,2019-08-10T07:36:45.802,17.078,98128.422
1565447805875,2019-08-10T07:36:45.875,17.151,98129.734
1565447805949,2019-08-10T07:36:45.949,17.225,98131.484
1565447806023,2019-08-10T07:36:46.023,17.299,98126.641
1565447806097,2019-08-10T07:36:46.097,17.373,98129.734
1565447806170,2019-08-10T07:36:46.170,17.446,98128.422
1565447806243,2019-08-10T07:36:46.243,17.519,98127.492
1565447806318,2019-08-10T07:36:46.318,17.594,98128.797
1565447806391,2019-08-10T07:36:46.391,17.667,98128.313
1565447806464,2019-08-10T07:36:46.464,17.740,98127.016
