time,class,class_prop,class_rel,class_prop_rel
63.8,6,1,6,1
64.8,6,1,6,1
65.8,6,1,6,1
66.8,6,1,6,1
67.8,6,1,6,1
68.8,6,1,6,1
69.8,6,1,6,1
70.8,6,1,6,1
71.8,6,1,6,1
72.8,6,1,6,1
73.8,6,1,6,1
74.8,6,1,6,1
75.8,6,1,6,1
76.8,6,1,6,1
77.8,6,1,6,1
78.8,6,1,6,1
79.8,6,1,6,1
80.8,6,1,6,1
81.8,6,1,6,1
82.8,6,1,6,1
83.8,6,1,6,1
84.8,6,1,6,1
85.8,6,1,6,1
86.8,6,1,6,1
87.8,6,1,6,1
88.8,6,1,6,1
89.8,6,1,6,1
90.8,6,1,6,1
91.8,6,1,6,1
92.8,6,1,6,1
93.8,6,1,6,1
94.8,6,1,6,1
95.8,6,1,6,1
96.8,6,1,6,1
97.8,6,1,6,1
98.8,6,1,6,1
99.8,6,1,6,1
100.8,6,1,6,1
101.8,6,1,6,1
102.8,6,1,6,1
103.8,6,1,6,1
104.8,6,1,6,1
105.8,6,1,6,1
106.8,6,1,6,1
107.8,6,1,6,1
108.8,6,1,6,1
109.8,6,1,6,1
110.8,6,1,6,1
111.8,6,1,6,1
112.8,6,1,6,1
113.8,6,1,6,1
114.8,6,1,6,1
115.8,6,1,6,1
116.8,6,1,6,1
117.8,6,1,6,1
118.8,6,1,6,1
119.8,6,1,6,1
120.8,6,1,6,1
121.8,6,1,6,1
122.8,6,1,6,1
123.8,6,1,6,1
124.8,6,1,6,1
125.8,6,1,6,1
126.8,6,1,6,1
127.8,6,1,6,1
128.8,6,1,6,1
129.8,6,1,6,1
130.8,6,1,6,1
131.8,6,1,6,1
132.8,6,1,6,1
133.8,6,1,6,1
134.8,6,1,6,1
135.8,6,1,6,1
136.8,6,1,6,1
137.8,6,1,6,1
138.8,6,1,6,1
139.8,6,1,6,1
140.8,6,1,6,1
141.8,6,1,6,1
142.8,6,1,6,1
143.8,6,1,6,1
144.8,6,1,6,1
145.8,6,1,6,1
146.8,6,1,6,1
