48178,150382,hs
150654,259114,hw
259114,280772,hs
285634,320110,l
333642,488172,l
488172,557974,p
578374,590784,ss
592042,596904,ss
598536,660858,ss
662830,716108,ss
722092,785774,ss
787066,793390,p
794886,854556,ss
859554,871012,ss
879886,882300,ss
887944,905352,ss
905828,916844,ss
918510,924324,ss
925854,934558,ss
936054,955978,ss
956930,976480,ss
977840,984708,ss
987496,994160,ss
997696,1005754,ss
1007250,1009596,ss
1026018,1031322,p
1035504,1045262,ss
1046724,1057060,ss
1061038,1100002,ss
1107890,1116866,ss
1119212,1123802,ss
1126896,1135124,ss
1140054,1151240,ss
1155558,1169192,ss
1172796,1211182,ss
1213460,1215126,hw
1224816,1334024,sr
1360000,1360000,99
