71876,140964,hs
143820,261086,hw
261154,268804,hs
272816,282438,p
285668,292400,p
293284,297364,c
297670,309366,p
310692,311950,ss
317798,320484,ss
324020,325516,p
329834,331636,ss
333540,335070,p
340238,343332,ss
345100,347650,l
348840,356796,p
358156,367200,ss
380086,381072,u
384336,427006,ss
431358,448358,ss
450976,468690,ss
471818,475014,c
485928,488274,c
490144,494870,p
495550,500174,c
512788,514658,c
515100,522852,p
530604,536758,ss
540634,540872,p
543660,552126,ss
563108,649876,ss
659396,661980,ss
665686,668610,c
670956,672044,ss
678402,680442,c
682856,688534,ss
690914,692342,p
693158,695912,c
699856,737018,ss
749734,759594,ss
761872,764728,c
767074,771426,sc
774554,779484,hs
801686,949994,sr
972570,972570,99
