epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1559852902493,2019-06-06T13.28.22.493,0.000,97717.080
1559852902568,2019-06-06T13.28.22.568,0.075,97712.160
1559852902641,2019-06-06T13.28.22.641,0.148,97715.300
1559852902715,2019-06-06T13.28.22.715,0.222,97717.700
1559852902788,2019-06-06T13.28.22.788,0.295,97719.020
1559852902863,2019-06-06T13.28.22.863,0.370,97714.280
1559852902936,2019-06-06T13.28.22.936,0.443,97709.020
1559852903009,2019-06-06T13.28.23.009,0.516,97716.690
1559852903082,2019-06-06T13.28.23.082,0.589,97714.570
1559852903157,2019-06-06T13.28.23.157,0.664,97707.200
1559852903230,2019-06-06T13.28.23.230,0.737,97709.830
1559852903304,2019-06-06T13.28.23.304,0.811,97705.890
1559852903377,2019-06-06T13.28.23.377,0.884,97713.770
1559852903451,2019-06-06T13.28.23.451,0.958,97709.310
1559852903525,2019-06-06T13.28.23.525,1.032,97709.310
1559852903598,2019-06-06T13.28.23.598,1.105,97708.810
1559852903673,2019-06-06T13.28.23.673,1.180,97716.690
1559852903746,2019-06-06T13.28.23.746,1.253,97707.200
1559852903819,2019-06-06T13.28.23.819,1.326,97709.310
1559852903894,2019-06-06T13.28.23.894,1.401,97719.320
1559852903967,2019-06-06T13.28.23.967,1.474,97706.190
1559852904040,2019-06-06T13.28.24.040,1.547,97709.310
1559852904114,2019-06-06T13.28.24.114,1.621,97710.930
1559852904188,2019-06-06T13.28.24.188,1.695,97710.930
1559852904262,2019-06-06T13.28.24.262,1.769,97707.500
1559852904335,2019-06-06T13.28.24.335,1.842,97711.770
1559852904408,2019-06-06T13.28.24.408,1.915,97707.830
1559852904483,2019-06-06T13.28.24.483,1.990,97712.240
1559852904556,2019-06-06T13.28.24.556,2.063,97711.440
1559852904629,2019-06-06T13.28.24.629,2.136,97708.630
1559852904702,2019-06-06T13.28.24.702,2.209,97708.300
1559852904777,2019-06-06T13.28.24.777,2.284,97713.080
1559852904850,2019-06-06T13.28.24.850,2.357,97710.130
1559852904924,2019-06-06T13.28.24.924,2.431,97711.440
1559852904997,2019-06-06T13.28.24.997,2.504,97711.440
1559852905072,2019-06-06T13.28.25.072,2.579,97714.870
1559852905145,2019-06-06T13.28.25.145,2.652,97707.500
1559852905218,2019-06-06T13.28.25.218,2.725,97712.240
1559852905291,2019-06-06T13.28.25.291,2.798,97724.390
1559852905366,2019-06-06T13.28.25.366,2.873,97710.130
1559852905439,2019-06-06T13.28.25.439,2.946,97712.240
1559852905513,2019-06-06T13.28.25.513,3.020,97713.550
1559852905586,2019-06-06T13.28.25.586,3.093,97716.520
1559852905660,2019-06-06T13.28.25.660,3.167,97709.140
1559852905734,2019-06-06T13.28.25.734,3.241,97705.500
1559852905807,2019-06-06T13.28.25.807,3.314,97703.890
1559852905880,2019-06-06T13.28.25.880,3.387,97707.310
1559852905955,2019-06-06T13.28.25.955,3.462,97707.310
1559852906028,2019-06-06T13.28.26.028,3.535,97706.000
1559852906101,2019-06-06T13.28.26.101,3.608,97709.950
1559852906175,2019-06-06T13.28.26.175,3.682,97706.810
1559852906249,2019-06-06T13.28.26.249,3.756,97706.810
1559852906323,2019-06-06T13.28.26.323,3.830,97702.360
1559852906396,2019-06-06T13.28.26.396,3.903,97707.310
1559852906469,2019-06-06T13.28.26.469,3.976,97708.930
1559852906544,2019-06-06T13.28.26.544,4.051,97706.810
1559852906617,2019-06-06T13.28.26.617,4.124,97708.420
1559852906690,2019-06-06T13.28.26.690,4.197,97710.240
1559852906765,2019-06-06T13.28.26.765,4.272,97710.240
1559852906838,2019-06-06T13.28.26.838,4.345,97708.930
1559852906911,2019-06-06T13.28.26.911,4.418,97708.130
1559852906985,2019-06-06T13.28.26.985,4.492,97706.810
1559852907059,2019-06-06T13.28.27.059,4.566,97706.300
1559852907133,2019-06-06T13.28.27.133,4.640,97704.690
1559852907206,2019-06-06T13.28.27.206,4.713,97704.980
1559852907279,2019-06-06T13.28.27.279,4.786,97702.880
1559852907354,2019-06-06T13.28.27.354,4.861,97700.540
1559852907427,2019-06-06T13.28.27.427,4.934,97703.160
1559852907500,2019-06-06T13.28.27.500,5.007,97700.240
1559852907574,2019-06-06T13.28.27.574,5.081,97700.840
1559852907648,2019-06-06T13.28.27.648,5.155,97702.360
1559852907722,2019-06-06T13.28.27.722,5.229,97705.800
1559852907795,2019-06-06T13.28.27.795,5.302,97699.230
1559852907868,2019-06-06T13.28.27.868,5.375,97701.860
1559852907943,2019-06-06T13.28.27.943,5.450,97701.340
1559852908016,2019-06-06T13.28.28.016,5.523,97702.360
1559852908089,2019-06-06T13.28.28.089,5.596,97703.160
1559852908162,2019-06-06T13.28.28.162,5.669,97703.160
1559852908237,2019-06-06T13.28.28.237,5.744,97706.090
1559852908310,2019-06-06T13.28.28.310,5.817,97699.230
1559852908384,2019-06-06T13.28.28.384,5.891,97701.340
1559852908457,2019-06-06T13.28.28.457,5.964,97704.780
1559852908532,2019-06-06T13.28.28.532,6.039,97702.150
1559852908605,2019-06-06T13.28.28.605,6.112,97705.800
1559852908678,2019-06-06T13.28.28.678,6.185,97700.540
