epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1565464207501,2019-08-10T12:10:07.501,0.000,-0.024,0.043,1.005
1565464207521,2019-08-10T12:10:07.521,0.020,-0.022,0.044,1.013
1565464207542,2019-08-10T12:10:07.542,0.041,-0.022,0.044,1.010
1565464207562,2019-08-10T12:10:07.562,0.061,-0.023,0.043,1.010
1565464207583,2019-08-10T12:10:07.583,0.082,-0.024,0.044,1.012
1565464207604,2019-08-10T12:10:07.604,0.103,-0.024,0.044,1.011
1565464207624,2019-08-10T12:10:07.624,0.123,-0.021,0.044,1.011
1565464207643,2019-08-10T12:10:07.643,0.142,-0.023,0.045,1.010
1565464207664,2019-08-10T12:10:07.664,0.163,-0.024,0.045,1.010
1565464207684,2019-08-10T12:10:07.684,0.183,-0.023,0.046,1.009
1565464207705,2019-08-10T12:10:07.705,0.204,-0.024,0.045,1.012
1565464207725,2019-08-10T12:10:07.725,0.224,-0.026,0.044,1.012
1565464207746,2019-08-10T12:10:07.746,0.245,-0.024,0.044,1.011
1565464207766,2019-08-10T12:10:07.766,0.265,-0.023,0.046,1.011
1565464207787,2019-08-10T12:10:07.787,0.286,-0.022,0.044,1.011
1565464207806,2019-08-10T12:10:07.806,0.305,-0.022,0.045,1.010
1565464207826,2019-08-10T12:10:07.826,0.325,-0.023,0.044,1.010
1565464207847,2019-08-10T12:10:07.847,0.346,-0.025,0.044,1.010
1565464207867,2019-08-10T12:10:07.867,0.366,-0.022,0.045,1.009
1565464207888,2019-08-10T12:10:07.888,0.387,-0.023,0.045,1.011
1565464207908,2019-08-10T12:10:07.908,0.407,-0.024,0.045,1.012
1565464207929,2019-08-10T12:10:07.929,0.428,-0.023,0.044,1.011
1565464207948,2019-08-10T12:10:07.948,0.447,-0.023,0.044,1.011
1565464207968,2019-08-10T12:10:07.968,0.467,-0.023,0.046,1.013
1565464207989,2019-08-10T12:10:07.989,0.488,-0.023,0.045,1.012
1565464208009,2019-08-10T12:10:08.009,0.508,-0.025,0.046,1.010
1565464208030,2019-08-10T12:10:08.030,0.529,-0.024,0.045,1.012
1565464208050,2019-08-10T12:10:08.050,0.549,-0.024,0.044,1.011
1565464208071,2019-08-10T12:10:08.071,0.570,-0.023,0.046,1.011
1565464208090,2019-08-10T12:10:08.090,0.589,-0.024,0.045,1.011
