epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1565464201535,2019-08-10T12:10:01.535,0.000,-0.065,-0.024,1.037
1565464201554,2019-08-10T12:10:01.554,0.019,-0.067,-0.024,1.044
1565464201575,2019-08-10T12:10:01.575,0.040,-0.067,-0.024,1.043
1565464201595,2019-08-10T12:10:01.595,0.060,-0.067,-0.024,1.043
1565464201616,2019-08-10T12:10:01.616,0.081,-0.066,-0.024,1.043
1565464201636,2019-08-10T12:10:01.636,0.101,-0.066,-0.025,1.044
1565464201657,2019-08-10T12:10:01.657,0.122,-0.067,-0.024,1.042
1565464201676,2019-08-10T12:10:01.676,0.141,-0.067,-0.025,1.042
1565464201696,2019-08-10T12:10:01.696,0.161,-0.066,-0.026,1.043
1565464201717,2019-08-10T12:10:01.717,0.182,-0.066,-0.024,1.043
1565464201737,2019-08-10T12:10:01.737,0.202,-0.066,-0.024,1.042
1565464201758,2019-08-10T12:10:01.758,0.223,-0.066,-0.025,1.042
1565464201778,2019-08-10T12:10:01.778,0.243,-0.067,-0.025,1.043
1565464201799,2019-08-10T12:10:01.799,0.264,-0.068,-0.025,1.042
1565464201818,2019-08-10T12:10:01.818,0.283,-0.066,-0.023,1.043
1565464201838,2019-08-10T12:10:01.838,0.303,-0.065,-0.024,1.042
1565464201859,2019-08-10T12:10:01.859,0.324,-0.067,-0.025,1.044
1565464201879,2019-08-10T12:10:01.879,0.344,-0.066,-0.025,1.043
1565464201900,2019-08-10T12:10:01.900,0.365,-0.068,-0.025,1.044
1565464201920,2019-08-10T12:10:01.920,0.385,-0.067,-0.026,1.043
1565464201941,2019-08-10T12:10:01.941,0.406,-0.066,-0.024,1.042
1565464201960,2019-08-10T12:10:01.960,0.425,-0.068,-0.025,1.043
1565464201981,2019-08-10T12:10:01.981,0.446,-0.065,-0.025,1.042
1565464202001,2019-08-10T12:10:02.001,0.466,-0.065,-0.025,1.044
1565464202022,2019-08-10T12:10:02.022,0.487,-0.070,-0.025,1.044
1565464202042,2019-08-10T12:10:02.042,0.507,-0.068,-0.025,1.043
1565464202063,2019-08-10T12:10:02.063,0.528,-0.068,-0.024,1.042
1565464202082,2019-08-10T12:10:02.082,0.547,-0.068,-0.024,1.044
1565464202102,2019-08-10T12:10:02.102,0.567,-0.068,-0.025,1.044
1565464202123,2019-08-10T12:10:02.123,0.588,-0.067,-0.025,1.043
1565464202143,2019-08-10T12:10:02.143,0.608,-0.065,-0.024,1.044
1565464202164,2019-08-10T12:10:02.164,0.629,-0.067,-0.025,1.044
1565464202184,2019-08-10T12:10:02.184,0.649,-0.065,-0.024,1.042
1565464202205,2019-08-10T12:10:02.205,0.670,-0.066,-0.025,1.044
1565464202224,2019-08-10T12:10:02.224,0.689,-0.066,-0.024,1.044
1565464202244,2019-08-10T12:10:02.244,0.709,-0.067,-0.026,1.042
1565464202265,2019-08-10T12:10:02.265,0.730,-0.066,-0.025,1.042
1565464202285,2019-08-10T12:10:02.285,0.750,-0.067,-0.026,1.044
1565464202306,2019-08-10T12:10:02.306,0.771,-0.065,-0.025,1.045
1565464202326,2019-08-10T12:10:02.326,0.791,-0.066,-0.023,1.042
1565464202345,2019-08-10T12:10:02.345,0.810,-0.066,-0.023,1.043
1565464202366,2019-08-10T12:10:02.366,0.831,-0.066,-0.024,1.044
1565464202386,2019-08-10T12:10:02.386,0.851,-0.067,-0.025,1.044
1565464202407,2019-08-10T12:10:02.407,0.872,-0.067,-0.025,1.043
1565464202427,2019-08-10T12:10:02.427,0.892,-0.067,-0.025,1.044
1565464202448,2019-08-10T12:10:02.448,0.913,-0.066,-0.024,1.043
1565464202468,2019-08-10T12:10:02.468,0.933,-0.067,-0.024,1.046
1565464202487,2019-08-10T12:10:02.487,0.952,-0.064,-0.024,1.046
1565464202508,2019-08-10T12:10:02.508,0.973,-0.068,-0.025,1.044
1565464202528,2019-08-10T12:10:02.528,0.993,-0.068,-0.024,1.044
1565464202549,2019-08-10T12:10:02.549,1.014,-0.065,-0.024,1.042
1565464202569,2019-08-10T12:10:02.569,1.034,-0.066,-0.024,1.043
1565464202590,2019-08-10T12:10:02.590,1.055,-0.067,-0.025,1.044
1565464202610,2019-08-10T12:10:02.610,1.075,-0.065,-0.024,1.045
1565464202629,2019-08-10T12:10:02.629,1.094,-0.064,-0.025,1.044
1565464202650,2019-08-10T12:10:02.650,1.115,-0.066,-0.025,1.043
1565464202670,2019-08-10T12:10:02.670,1.135,-0.066,-0.024,1.044
1565464202691,2019-08-10T12:10:02.691,1.156,-0.067,-0.025,1.044
1565464202711,2019-08-10T12:10:02.711,1.176,-0.067,-0.025,1.043
1565464202732,2019-08-10T12:10:02.732,1.197,-0.065,-0.024,1.044
1565464202751,2019-08-10T12:10:02.751,1.216,-0.065,-0.024,1.044
1565464202772,2019-08-10T12:10:02.772,1.237,-0.067,-0.024,1.045
1565464202792,2019-08-10T12:10:02.792,1.257,-0.067,-0.026,1.044
1565464202813,2019-08-10T12:10:02.813,1.278,-0.067,-0.025,1.044
1565464202833,2019-08-10T12:10:02.833,1.298,-0.065,-0.024,1.044
1565464202854,2019-08-10T12:10:02.854,1.319,-0.067,-0.024,1.044
1565464202874,2019-08-10T12:10:02.874,1.339,-0.066,-0.024,1.042
1565464202893,2019-08-10T12:10:02.893,1.358,-0.068,-0.024,1.042
1565464202914,2019-08-10T12:10:02.914,1.379,-0.067,-0.025,1.043
1565464202934,2019-08-10T12:10:02.934,1.399,-0.067,-0.024,1.043
1565464202955,2019-08-10T12:10:02.955,1.420,-0.067,-0.026,1.045
1565464202975,2019-08-10T12:10:02.975,1.440,-0.068,-0.025,1.046
1565464202996,2019-08-10T12:10:02.996,1.461,-0.065,-0.024,1.044
1565464203015,2019-08-10T12:10:03.015,1.480,-0.066,-0.024,1.044
1565464203035,2019-08-10T12:10:03.035,1.500,-0.065,-0.025,1.044
1565464203056,2019-08-10T12:10:03.056,1.521,-0.066,-0.025,1.044
1565464203076,2019-08-10T12:10:03.076,1.541,-0.066,-0.025,1.045
1565464203097,2019-08-10T12:10:03.097,1.562,-0.068,-0.024,1.044
1565464203117,2019-08-10T12:10:03.117,1.582,-0.066,-0.023,1.045
1565464203138,2019-08-10T12:10:03.138,1.603,-0.067,-0.025,1.044
1565464203157,2019-08-10T12:10:03.157,1.622,-0.066,-0.025,1.044
1565464203177,2019-08-10T12:10:03.177,1.642,-0.066,-0.023,1.043
1565464203198,2019-08-10T12:10:03.198,1.663,-0.066,-0.024,1.043
1565464203218,2019-08-10T12:10:03.218,1.683,-0.068,-0.025,1.045
1565464203239,2019-08-10T12:10:03.239,1.704,-0.067,-0.025,1.046
1565464203259,2019-08-10T12:10:03.259,1.724,-0.066,-0.024,1.044
1565464203278,2019-08-10T12:10:03.278,1.743,-0.067,-0.024,1.045
1565464203299,2019-08-10T12:10:03.299,1.764,-0.067,-0.025,1.045
1565464203319,2019-08-10T12:10:03.319,1.784,-0.066,-0.025,1.043
1565464203340,2019-08-10T12:10:03.340,1.805,-0.069,-0.025,1.043
1565464203360,2019-08-10T12:10:03.360,1.825,-0.064,-0.023,1.044
1565464203381,2019-08-10T12:10:03.381,1.846,-0.066,-0.024,1.045
1565464203401,2019-08-10T12:10:03.401,1.866,-0.064,-0.025,1.042
1565464203420,2019-08-10T12:10:03.420,1.885,-0.065,-0.024,1.042
1565464203441,2019-08-10T12:10:03.441,1.906,-0.067,-0.023,1.045
1565464203461,2019-08-10T12:10:03.461,1.926,-0.067,-0.024,1.045
1565464203482,2019-08-10T12:10:03.482,1.947,-0.068,-0.023,1.044
1565464203503,2019-08-10T12:10:03.503,1.968,-0.066,-0.024,1.045
1565464203523,2019-08-10T12:10:03.523,1.988,-0.067,-0.024,1.043
1565464203544,2019-08-10T12:10:03.544,2.009,-0.067,-0.025,1.043
1565464203563,2019-08-10T12:10:03.563,2.028,-0.066,-0.024,1.045
1565464203583,2019-08-10T12:10:03.583,2.048,-0.066,-0.025,1.043
1565464203604,2019-08-10T12:10:03.604,2.069,-0.067,-0.025,1.043
1565464203624,2019-08-10T12:10:03.624,2.089,-0.067,-0.025,1.043
1565464203645,2019-08-10T12:10:03.645,2.110,-0.065,-0.025,1.043
1565464203665,2019-08-10T12:10:03.665,2.130,-0.066,-0.024,1.047
1565464203684,2019-08-10T12:10:03.684,2.149,-0.066,-0.024,1.045
1565464203705,2019-08-10T12:10:03.705,2.170,-0.067,-0.024,1.045
1565464203725,2019-08-10T12:10:03.725,2.190,-0.067,-0.026,1.045
1565464203746,2019-08-10T12:10:03.746,2.211,-0.067,-0.024,1.045
1565464203766,2019-08-10T12:10:03.766,2.231,-0.068,-0.025,1.043
1565464203787,2019-08-10T12:10:03.787,2.252,-0.067,-0.025,1.044
1565464203807,2019-08-10T12:10:03.807,2.272,-0.065,-0.024,1.042
1565464203826,2019-08-10T12:10:03.826,2.291,-0.067,-0.023,1.043
1565464203847,2019-08-10T12:10:03.847,2.312,-0.066,-0.024,1.044
1565464203867,2019-08-10T12:10:03.867,2.332,-0.065,-0.025,1.044
1565464203888,2019-08-10T12:10:03.888,2.353,-0.066,-0.025,1.044
1565464203908,2019-08-10T12:10:03.908,2.373,-0.065,-0.024,1.044
1565464203929,2019-08-10T12:10:03.929,2.394,-0.064,-0.025,1.043
1565464203948,2019-08-10T12:10:03.948,2.413,-0.065,-0.024,1.045
1565464203968,2019-08-10T12:10:03.968,2.433,-0.068,-0.024,1.045
1565464203989,2019-08-10T12:10:03.989,2.454,-0.067,-0.023,1.046
1565464204009,2019-08-10T12:10:04.009,2.474,-0.066,-0.023,1.045
1565464204030,2019-08-10T12:10:04.030,2.495,-0.066,-0.025,1.044
1565464204050,2019-08-10T12:10:04.050,2.515,-0.066,-0.024,1.045
1565464204071,2019-08-10T12:10:04.071,2.536,-0.066,-0.024,1.045
1565464204090,2019-08-10T12:10:04.090,2.555,-0.065,-0.025,1.042
1565464204110,2019-08-10T12:10:04.110,2.575,-0.065,-0.026,1.044
1565464204131,2019-08-10T12:10:04.131,2.596,-0.067,-0.025,1.045
1565464204151,2019-08-10T12:10:04.151,2.616,-0.066,-0.022,1.043
1565464204172,2019-08-10T12:10:04.172,2.637,-0.067,-0.023,1.043
1565464204192,2019-08-10T12:10:04.192,2.657,-0.067,-0.024,1.043
1565464204213,2019-08-10T12:10:04.213,2.678,-0.068,-0.024,1.044
1565464204232,2019-08-10T12:10:04.232,2.697,-0.068,-0.024,1.045
1565464204253,2019-08-10T12:10:04.253,2.718,-0.066,-0.024,1.042
1565464204273,2019-08-10T12:10:04.273,2.738,-0.066,-0.024,1.044
1565464204294,2019-08-10T12:10:04.294,2.759,-0.067,-0.024,1.045
1565464204314,2019-08-10T12:10:04.314,2.779,-0.066,-0.024,1.044
1565464204335,2019-08-10T12:10:04.335,2.800,-0.067,-0.025,1.045
1565464204354,2019-08-10T12:10:04.354,2.819,-0.064,-0.025,1.045
1565464204374,2019-08-10T12:10:04.374,2.839,-0.066,-0.024,1.043
1565464204395,2019-08-10T12:10:04.395,2.860,-0.067,-0.024,1.044
1565464204415,2019-08-10T12:10:04.415,2.880,-0.066,-0.025,1.043
1565464204436,2019-08-10T12:10:04.436,2.901,-0.066,-0.025,1.046
1565464204456,2019-08-10T12:10:04.456,2.921,-0.065,-0.024,1.045
1565464204477,2019-08-10T12:10:04.477,2.942,-0.066,-0.023,1.045
1565464204496,2019-08-10T12:10:04.496,2.961,-0.066,-0.023,1.044
1565464204516,2019-08-10T12:10:04.516,2.981,-0.066,-0.024,1.045
1565464204537,2019-08-10T12:10:04.537,3.002,-0.065,-0.024,1.044
1565464204557,2019-08-10T12:10:04.557,3.022,-0.066,-0.023,1.044
1565464204578,2019-08-10T12:10:04.578,3.043,-0.065,-0.025,1.045
1565464204598,2019-08-10T12:10:04.598,3.063,-0.066,-0.025,1.044
1565464204617,2019-08-10T12:10:04.617,3.082,-0.067,-0.025,1.044
1565464204638,2019-08-10T12:10:04.638,3.103,-0.066,-0.024,1.045
1565464204658,2019-08-10T12:10:04.658,3.123,-0.066,-0.025,1.044
1565464204679,2019-08-10T12:10:04.679,3.144,-0.067,-0.024,1.043
1565464204699,2019-08-10T12:10:04.699,3.164,-0.068,-0.025,1.043
1565464204720,2019-08-10T12:10:04.720,3.185,-0.066,-0.026,1.043
1565464204740,2019-08-10T12:10:04.740,3.205,-0.065,-0.024,1.044
1565464204759,2019-08-10T12:10:04.759,3.224,-0.066,-0.025,1.043
1565464204780,2019-08-10T12:10:04.780,3.245,-0.065,-0.026,1.044
1565464204800,2019-08-10T12:10:04.800,3.265,-0.066,-0.024,1.044
1565464204821,2019-08-10T12:10:04.821,3.286,-0.066,-0.025,1.043
1565464204841,2019-08-10T12:10:04.841,3.306,-0.066,-0.025,1.045
1565464204862,2019-08-10T12:10:04.862,3.327,-0.065,-0.022,1.044
1565464204881,2019-08-10T12:10:04.881,3.346,-0.065,-0.023,1.044
1565464204901,2019-08-10T12:10:04.901,3.366,-0.066,-0.023,1.042
1565464204922,2019-08-10T12:10:04.922,3.387,-0.066,-0.022,1.044
1565464204942,2019-08-10T12:10:04.942,3.407,-0.067,-0.024,1.045
1565464204963,2019-08-10T12:10:04.963,3.428,-0.065,-0.025,1.047
1565464204983,2019-08-10T12:10:04.983,3.448,-0.067,-0.024,1.045
1565464205004,2019-08-10T12:10:05.004,3.469,-0.066,-0.025,1.045
1565464205023,2019-08-10T12:10:05.023,3.488,-0.066,-0.024,1.045
1565464205044,2019-08-10T12:10:05.044,3.509,-0.068,-0.024,1.044
1565464205064,2019-08-10T12:10:05.064,3.529,-0.067,-0.023,1.044
1565464205085,2019-08-10T12:10:05.085,3.550,-0.066,-0.024,1.043
1565464205105,2019-08-10T12:10:05.105,3.570,-0.066,-0.024,1.045
1565464205126,2019-08-10T12:10:05.126,3.591,-0.066,-0.025,1.045
1565464205146,2019-08-10T12:10:05.146,3.611,-0.065,-0.024,1.044
1565464205165,2019-08-10T12:10:05.165,3.630,-0.065,-0.025,1.043
1565464205186,2019-08-10T12:10:05.186,3.651,-0.066,-0.024,1.045
1565464205206,2019-08-10T12:10:05.206,3.671,-0.065,-0.025,1.045
1565464205227,2019-08-10T12:10:05.227,3.692,-0.066,-0.025,1.043
1565464205247,2019-08-10T12:10:05.247,3.712,-0.066,-0.024,1.043
1565464205268,2019-08-10T12:10:05.268,3.733,-0.067,-0.024,1.043
1565464205287,2019-08-10T12:10:05.287,3.752,-0.065,-0.024,1.042
1565464205307,2019-08-10T12:10:05.307,3.772,-0.065,-0.024,1.043
1565464205328,2019-08-10T12:10:05.328,3.793,-0.067,-0.024,1.043
1565464205348,2019-08-10T12:10:05.348,3.813,-0.065,-0.023,1.045
