epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1565464213875,2019-08-10T12:10:13.875,0.000,97996.250
1565464213949,2019-08-10T12:10:13.949,0.074,97992.727
1565464214023,2019-08-10T12:10:14.023,0.148,97994.844
1565464214097,2019-08-10T12:10:14.097,0.222,97999.609
1565464214170,2019-08-10T12:10:14.170,0.295,97997.453
1565464214243,2019-08-10T12:10:14.243,0.368,97994.406
1565464214318,2019-08-10T12:10:14.318,0.443,97993.102
1565464214391,2019-08-10T12:10:14.391,0.516,97991.805
1565464214464,2019-08-10T12:10:14.464,0.589,97997.000
1565464214538,2019-08-10T12:10:14.538,0.663,97994.406
1565464214612,2019-08-10T12:10:14.612,0.737,97994.781
1565464214686,2019-08-10T12:10:14.686,0.811,97992.625
1565464214759,2019-08-10T12:10:14.759,0.884,97993.484
1565464214832,2019-08-10T12:10:14.832,0.957,97991.328
1565464214907,2019-08-10T12:10:14.907,1.032,97992.188
1565464214980,2019-08-10T12:10:14.980,1.105,97992.188
1565464215053,2019-08-10T12:10:15.053,1.178,97987.805
1565464215126,2019-08-10T12:10:15.126,1.251,97994.406
1565464215201,2019-08-10T12:10:15.201,1.326,97996.906
1565464215274,2019-08-10T12:10:15.274,1.399,97993.484
1565464215348,2019-08-10T12:10:15.348,1.473,97990.031
1565464215421,2019-08-10T12:10:15.421,1.546,97993.930
1565464215496,2019-08-10T12:10:15.496,1.621,97999.063
1565464215569,2019-08-10T12:10:15.569,1.694,97998.203
1565464215642,2019-08-10T12:10:15.642,1.767,97996.461
1565464215717,2019-08-10T12:10:15.717,1.842,97996.078
1565464215790,2019-08-10T12:10:15.790,1.915,97995.984
1565464215863,2019-08-10T12:10:15.863,1.988,97993.484
1565464215936,2019-08-10T12:10:15.936,2.061,97994.305
1565464216011,2019-08-10T12:10:16.011,2.136,97993.000
1565464216084,2019-08-10T12:10:16.084,2.209,97994.781
1565464216158,2019-08-10T12:10:16.158,2.283,97993.859
1565464216231,2019-08-10T12:10:16.231,2.356,98001.656
1565464216306,2019-08-10T12:10:16.306,2.431,97989.578
1565464216379,2019-08-10T12:10:16.379,2.504,97994.305
1565464216452,2019-08-10T12:10:16.452,2.577,97993.383
1565464216525,2019-08-10T12:10:16.525,2.650,97995.156
1565464216600,2019-08-10T12:10:16.600,2.725,97996.906
1565464216673,2019-08-10T12:10:16.673,2.798,97999.883
1565464216747,2019-08-10T12:10:16.747,2.872,97992.563
1565464216820,2019-08-10T12:10:16.820,2.945,97996.461
1565464216894,2019-08-10T12:10:16.894,3.019,97990.875
1565464216968,2019-08-10T12:10:16.968,3.093,97989.961
1565464217041,2019-08-10T12:10:17.041,3.166,97994.688
1565464217114,2019-08-10T12:10:17.114,3.239,97995.156
1565464217189,2019-08-10T12:10:17.189,3.314,97995.984
1565464217262,2019-08-10T12:10:17.262,3.387,97991.258
1565464217335,2019-08-10T12:10:17.335,3.460,97995.156
1565464217409,2019-08-10T12:10:17.409,3.534,97995.156
1565464217483,2019-08-10T12:10:17.483,3.608,97997.281
1565464217557,2019-08-10T12:10:17.557,3.682,97995.156
1565464217630,2019-08-10T12:10:17.630,3.755,97995.156
1565464217703,2019-08-10T12:10:17.703,3.828,97992.563
1565464217778,2019-08-10T12:10:17.778,3.903,97993.000
1565464217851,2019-08-10T12:10:17.851,3.976,97995.156
1565464217924,2019-08-10T12:10:17.924,4.049,97996.461
