epoch (ms),time (-07:00),elapsed (s),pressure (Pa)
1567330114484,2019-09-01T02:28:34.484,0.000,98244.766
1567330114557,2019-09-01T02:28:34.557,0.073,98249.883
1567330114632,2019-09-01T02:28:34.632,0.148,98245.023
1567330114705,2019-09-01T02:28:34.705,0.221,98243.719
1567330114778,2019-09-01T02:28:34.778,0.294,98244.539
1567330114851,2019-09-01T02:28:34.851,0.367,98247.641
1567330114926,2019-09-01T02:28:34.926,0.442,98245.023
1567330114999,2019-09-01T02:28:34.999,0.515,98247.156
1567330115072,2019-09-01T02:28:35.072,0.588,98241.094
1567330115146,2019-09-01T02:28:35.146,0.662,98249.313
1567330115220,2019-09-01T02:28:35.220,0.736,98245.023
1567330115294,2019-09-01T02:28:35.294,0.810,98244.086
1567330115367,2019-09-01T02:28:35.367,0.883,98242.406
1567330115440,2019-09-01T02:28:35.440,0.956,98241.922
1567330115515,2019-09-01T02:28:35.515,1.031,98244.539
1567330115588,2019-09-01T02:28:35.588,1.104,98248.945
1567330115661,2019-09-01T02:28:35.661,1.177,98241.469
1567330115735,2019-09-01T02:28:35.735,1.251,98244.086
1567330115809,2019-09-01T02:28:35.809,1.325,98244.086
1567330115883,2019-09-01T02:28:35.883,1.399,98246.328
1567330115956,2019-09-01T02:28:35.956,1.472,98249.313
1567330116029,2019-09-01T02:28:36.029,1.545,98245.844
1567330116104,2019-09-01T02:28:36.104,1.620,98242.781
1567330116177,2019-09-01T02:28:36.177,1.693,98244.086
1567330116250,2019-09-01T02:28:36.250,1.766,98244.086
1567330116323,2019-09-01T02:28:36.323,1.839,98256.789
1567330116398,2019-09-01T02:28:36.398,1.914,98248.008
1567330116471,2019-09-01T02:28:36.471,1.987,98246.703
1567330116545,2019-09-01T02:28:36.545,2.061,98241.469
1567330116618,2019-09-01T02:28:36.618,2.134,98234.563
1567330116693,2019-09-01T02:28:36.693,2.209,98266.313
1567330116766,2019-09-01T02:28:36.766,2.282,98242.297
1567330116839,2019-09-01T02:28:36.839,2.355,98244.539
1567330116912,2019-09-01T02:28:36.912,2.428,98238.000
1567330116987,2019-09-01T02:28:36.987,2.503,98245.391
1567330117060,2019-09-01T02:28:37.060,2.576,98244.539
1567330117133,2019-09-01T02:28:37.133,2.649,98244.539
1567330117207,2019-09-01T02:28:37.207,2.723,98236.688
1567330117281,2019-09-01T02:28:37.281,2.797,98246.703
1567330117355,2019-09-01T02:28:37.355,2.871,98243.719
1567330117428,2019-09-01T02:28:37.428,2.944,98239.313
1567330117501,2019-09-01T02:28:37.501,3.017,98244.906
1567330117576,2019-09-01T02:28:37.576,3.092,98245.844
1567330117649,2019-09-01T02:28:37.649,3.165,98245.391
1567330117722,2019-09-01T02:28:37.722,3.238,98240.617
1567330117796,2019-09-01T02:28:37.796,3.312,98245.844
1567330117870,2019-09-01T02:28:37.870,3.386,98241.094
1567330117944,2019-09-01T02:28:37.944,3.460,98242.781
1567330118017,2019-09-01T02:28:38.017,3.533,98240.617
1567330118090,2019-09-01T02:28:38.090,3.606,98238.859
1567330118165,2019-09-01T02:28:38.165,3.681,98242.781
1567330118238,2019-09-01T02:28:38.238,3.754,98242.781
1567330118311,2019-09-01T02:28:38.311,3.827,98242.781
1567330118384,2019-09-01T02:28:38.384,3.900,98243.594
1567330118459,2019-09-01T02:28:38.459,3.975,98242.781
1567330118532,2019-09-01T02:28:38.532,4.048,98248.008
1567330118606,2019-09-01T02:28:38.606,4.122,98241.469
1567330118679,2019-09-01T02:28:38.679,4.195,98243.594
1567330118754,2019-09-01T02:28:38.754,4.270,98243.594
1567330118827,2019-09-01T02:28:38.827,4.343,98244.086
1567330118900,2019-09-01T02:28:38.900,4.416,98243.234
1567330118973,2019-09-01T02:28:38.973,4.489,98245.844
1567330119048,2019-09-01T02:28:39.048,4.564,98242.297
1567330119121,2019-09-01T02:28:39.121,4.637,98242.297
1567330119195,2019-09-01T02:28:39.195,4.711,98242.781
1567330119268,2019-09-01T02:28:39.268,4.784,98241.922
1567330119342,2019-09-01T02:28:39.342,4.858,98240.164
1567330119416,2019-09-01T02:28:39.416,4.932,98241.094
1567330119489,2019-09-01T02:28:39.489,5.005,98241.922
1567330119562,2019-09-01T02:28:39.562,5.078,98243.234
1567330119637,2019-09-01T02:28:39.637,5.153,98242.781
1567330119710,2019-09-01T02:28:39.710,5.226,98238.000
1567330119783,2019-09-01T02:28:39.783,5.299,98239.313
1567330119858,2019-09-01T02:28:39.858,5.374,98239.313
1567330119931,2019-09-01T02:28:39.931,5.447,98244.539
1567330120005,2019-09-01T02:28:40.005,5.521,98243.234
1567330120078,2019-09-01T02:28:40.078,5.594,98241.922
1567330120153,2019-09-01T02:28:40.153,5.669,98245.391
1567330120226,2019-09-01T02:28:40.226,5.742,98246.703
1567330120299,2019-09-01T02:28:40.299,5.815,98241.922
1567330120372,2019-09-01T02:28:40.372,5.888,98244.453
1567330120447,2019-09-01T02:28:40.447,5.963,98242.781
1567330120520,2019-09-01T02:28:40.520,6.036,98245.391
1567330120593,2019-09-01T02:28:40.593,6.109,98248.828
1567330120667,2019-09-01T02:28:40.667,6.183,98243.234
1567330120741,2019-09-01T02:28:40.741,6.257,98241.469
1567330120815,2019-09-01T02:28:40.815,6.331,98241.469
1567330120888,2019-09-01T02:28:40.888,6.404,98240.164
1567330120961,2019-09-01T02:28:40.961,6.477,98246.219
1567330121036,2019-09-01T02:28:41.036,6.552,98241.469
1567330121109,2019-09-01T02:28:41.109,6.625,98246.703
1567330121182,2019-09-01T02:28:41.182,6.698,98244.086
1567330121256,2019-09-01T02:28:41.256,6.772,98244.086
1567330121330,2019-09-01T02:28:41.330,6.846,98240.164
1567330121404,2019-09-01T02:28:41.404,6.920,98241.469
1567330121477,2019-09-01T02:28:41.477,6.993,98243.234
1567330121550,2019-09-01T02:28:41.550,7.066,98243.594
1567330121625,2019-09-01T02:28:41.625,7.141,98242.781
1567330121698,2019-09-01T02:28:41.698,7.214,98239.313
1567330121771,2019-09-01T02:28:41.771,7.287,98244.086
1567330121844,2019-09-01T02:28:41.844,7.360,98241.922
1567330121919,2019-09-01T02:28:41.919,7.435,98239.797
1567330121992,2019-09-01T02:28:41.992,7.508,98241.469
1567330122066,2019-09-01T02:28:42.066,7.582,98242.781
1567330122139,2019-09-01T02:28:42.139,7.655,98242.781
1567330122214,2019-09-01T02:28:42.214,7.730,98239.797
1567330122287,2019-09-01T02:28:42.287,7.803,98241.469
1567330122360,2019-09-01T02:28:42.360,7.876,98238.859
1567330122433,2019-09-01T02:28:42.433,7.949,98243.594
1567330122508,2019-09-01T02:28:42.508,8.024,98242.297
1567330122581,2019-09-01T02:28:42.581,8.097,98241.922
1567330122654,2019-09-01T02:28:42.654,8.170,98244.086
1567330122728,2019-09-01T02:28:42.728,8.244,98242.781
1567330122802,2019-09-01T02:28:42.802,8.318,98240.617
1567330122876,2019-09-01T02:28:42.876,8.392,98246.219
1567330122949,2019-09-01T02:28:42.949,8.465,98240.164
1567330123022,2019-09-01T02:28:43.022,8.538,98241.469
1567330123097,2019-09-01T02:28:43.097,8.613,98244.086
1567330123170,2019-09-01T02:28:43.170,8.686,98242.781
1567330123243,2019-09-01T02:28:43.243,8.759,98242.781
1567330123317,2019-09-01T02:28:43.317,8.833,98244.086
1567330123391,2019-09-01T02:28:43.391,8.907,98240.984
1567330123465,2019-09-01T02:28:43.465,8.981,98242.781
1567330123538,2019-09-01T02:28:43.538,9.054,98242.781
1567330123611,2019-09-01T02:28:43.611,9.127,98242.781
1567330123686,2019-09-01T02:28:43.686,9.202,98240.164
1567330123759,2019-09-01T02:28:43.759,9.275,98236.688
1567330123832,2019-09-01T02:28:43.832,9.348,98241.469
1567330123905,2019-09-01T02:28:43.905,9.421,98240.164
1567330123980,2019-09-01T02:28:43.980,9.496,98240.617
1567330124053,2019-09-01T02:28:44.053,9.569,98237.547
1567330124127,2019-09-01T02:28:44.127,9.643,98244.086
1567330124200,2019-09-01T02:28:44.200,9.716,98241.469
1567330124275,2019-09-01T02:28:44.275,9.791,98236.688
1567330124348,2019-09-01T02:28:44.348,9.864,98241.469
1567330124421,2019-09-01T02:28:44.421,9.937,98240.164
1567330124494,2019-09-01T02:28:44.494,10.010,98244.453
1567330124569,2019-09-01T02:28:44.569,10.085,98240.164
1567330124642,2019-09-01T02:28:44.642,10.158,98242.781
1567330124716,2019-09-01T02:28:44.716,10.232,98240.164
1567330124789,2019-09-01T02:28:44.789,10.305,98243.148
1567330124863,2019-09-01T02:28:44.863,10.379,98245.391
1567330124937,2019-09-01T02:28:44.937,10.453,98242.297
1567330125010,2019-09-01T02:28:45.010,10.526,98238.859
1567330125085,2019-09-01T02:28:45.085,10.601,98241.922
1567330125158,2019-09-01T02:28:45.158,10.674,98241.094
1567330125231,2019-09-01T02:28:45.231,10.747,98238.859
1567330125304,2019-09-01T02:28:45.304,10.820,98246.703
1567330125379,2019-09-01T02:28:45.379,10.895,98242.781
1567330125452,2019-09-01T02:28:45.452,10.968,98241.469
1567330125526,2019-09-01T02:28:45.526,11.042,98240.984
1567330125599,2019-09-01T02:28:45.599,11.115,98241.844
1567330125674,2019-09-01T02:28:45.674,11.190,98242.297
1567330125747,2019-09-01T02:28:45.747,11.263,98236.688
1567330125820,2019-09-01T02:28:45.820,11.336,98243.148
1567330125893,2019-09-01T02:28:45.893,11.409,98241.469
1567330125968,2019-09-01T02:28:45.968,11.484,98243.148
1567330126041,2019-09-01T02:28:46.041,11.557,98243.148
1567330126114,2019-09-01T02:28:46.114,11.630,98244.906
1567330126188,2019-09-01T02:28:46.188,11.704,98240.164
1567330126262,2019-09-01T02:28:46.262,11.778,98240.531
1567330126336,2019-09-01T02:28:46.336,11.852,98240.984
1567330126409,2019-09-01T02:28:46.409,11.925,98240.531
1567330126482,2019-09-01T02:28:46.482,11.998,98247.070
1567330126557,2019-09-01T02:28:46.557,12.073,98243.148
1567330126630,2019-09-01T02:28:46.630,12.146,98241.469
1567330126703,2019-09-01T02:28:46.703,12.219,98244.453
1567330126777,2019-09-01T02:28:46.777,12.293,98240.617
1567330126851,2019-09-01T02:28:46.851,12.367,98244.086
1567330126925,2019-09-01T02:28:46.925,12.441,98242.297
1567330126998,2019-09-01T02:28:46.998,12.514,98242.781
1567330127071,2019-09-01T02:28:47.071,12.587,98244.453
1567330127146,2019-09-01T02:28:47.146,12.662,98242.297
1567330127219,2019-09-01T02:28:47.219,12.735,98243.594
1567330127292,2019-09-01T02:28:47.292,12.808,98240.164
1567330127367,2019-09-01T02:28:47.367,12.883,98245.766
1567330127440,2019-09-01T02:28:47.440,12.956,98242.297
1567330127513,2019-09-01T02:28:47.513,13.029,98245.766
1567330127587,2019-09-01T02:28:47.587,13.103,98245.391
1567330127661,2019-09-01T02:28:47.661,13.177,98244.453
1567330127735,2019-09-01T02:28:47.735,13.251,98237.063
1567330127808,2019-09-01T02:28:47.808,13.324,98240.984
1567330127881,2019-09-01T02:28:47.881,13.397,98243.148
1567330127956,2019-09-01T02:28:47.956,13.472,98245.281
1567330128029,2019-09-01T02:28:48.029,13.545,98238.375
1567330128102,2019-09-01T02:28:48.102,13.618,98240.531
1567330128175,2019-09-01T02:28:48.175,13.691,98244.906
1567330128250,2019-09-01T02:28:48.250,13.766,98244.453
1567330128323,2019-09-01T02:28:48.323,13.839,98245.766
1567330128397,2019-09-01T02:28:48.397,13.913,98240.984
1567330128470,2019-09-01T02:28:48.470,13.986,98239.219
1567330128545,2019-09-01T02:28:48.545,14.061,98240.164
1567330128618,2019-09-01T02:28:48.618,14.134,98239.680
1567330128691,2019-09-01T02:28:48.691,14.207,98243.148
1567330128764,2019-09-01T02:28:48.764,14.280,98238.375
1567330128839,2019-09-01T02:28:48.839,14.355,98240.531
1567330128912,2019-09-01T02:28:48.912,14.428,98241.844
1567330128986,2019-09-01T02:28:48.986,14.502,98237.922
1567330129059,2019-09-01T02:28:49.059,14.575,98240.531
1567330129133,2019-09-01T02:28:49.133,14.649,98241.844
1567330129207,2019-09-01T02:28:49.207,14.723,98243.969
1567330129280,2019-09-01T02:28:49.280,14.796,98240.047
1567330129355,2019-09-01T02:28:49.355,14.871,98243.148
1567330129428,2019-09-01T02:28:49.428,14.944,98239.219
1567330129501,2019-09-01T02:28:49.501,15.017,98236.609
1567330129574,2019-09-01T02:28:49.574,15.090,98243.516
1567330129649,2019-09-01T02:28:49.649,15.165,98239.219
1567330129722,2019-09-01T02:28:49.722,15.238,98238.859
1567330129796,2019-09-01T02:28:49.796,15.312,98242.664
1567330129869,2019-09-01T02:28:49.869,15.385,98245.281
1567330129944,2019-09-01T02:28:49.944,15.460,98239.219
