epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567339453420,2019-09-01T05:04:13.420,0.000,-0.029,-0.022,1.008
1567339453441,2019-09-01T05:04:13.441,0.021,-0.028,-0.022,1.017
1567339453461,2019-09-01T05:04:13.461,0.041,-0.027,-0.020,1.013
1567339453480,2019-09-01T05:04:13.480,0.060,-0.029,-0.021,1.012
1567339453501,2019-09-01T05:04:13.501,0.081,-0.030,-0.023,1.012
1567339453522,2019-09-01T05:04:13.522,0.102,-0.031,-0.022,1.013
1567339453542,2019-09-01T05:04:13.542,0.122,-0.030,-0.021,1.012
1567339453563,2019-09-01T05:04:13.563,0.143,-0.028,-0.021,1.012
1567339453583,2019-09-01T05:04:13.583,0.163,-0.030,-0.020,1.015
1567339453604,2019-09-01T05:04:13.604,0.184,-0.029,-0.022,1.013
1567339453624,2019-09-01T05:04:13.624,0.204,-0.030,-0.022,1.012
1567339453643,2019-09-01T05:04:13.643,0.223,-0.030,-0.021,1.012
1567339453664,2019-09-01T05:04:13.664,0.244,-0.029,-0.021,1.013
1567339453684,2019-09-01T05:04:13.684,0.264,-0.029,-0.021,1.014
1567339453705,2019-09-01T05:04:13.705,0.285,-0.027,-0.024,1.014
1567339453725,2019-09-01T05:04:13.725,0.305,-0.029,-0.022,1.011
1567339453746,2019-09-01T05:04:13.746,0.326,-0.030,-0.021,1.013
1567339453766,2019-09-01T05:04:13.766,0.346,-0.030,-0.020,1.013
1567339453785,2019-09-01T05:04:13.785,0.365,-0.029,-0.020,1.013
1567339453806,2019-09-01T05:04:13.806,0.386,-0.029,-0.022,1.012
1567339453826,2019-09-01T05:04:13.826,0.406,-0.029,-0.023,1.013
1567339453847,2019-09-01T05:04:13.847,0.427,-0.030,-0.021,1.013
1567339453867,2019-09-01T05:04:13.867,0.447,-0.029,-0.021,1.013
1567339453888,2019-09-01T05:04:13.888,0.468,-0.028,-0.021,1.014
1567339453908,2019-09-01T05:04:13.908,0.488,-0.029,-0.021,1.012
1567339453927,2019-09-01T05:04:13.927,0.507,-0.029,-0.022,1.015
1567339453948,2019-09-01T05:04:13.948,0.528,-0.030,-0.022,1.015
1567339453968,2019-09-01T05:04:13.968,0.548,-0.030,-0.021,1.014
1567339453989,2019-09-01T05:04:13.989,0.569,-0.030,-0.023,1.012
1567339454009,2019-09-01T05:04:14.009,0.589,-0.029,-0.021,1.013
1567339454030,2019-09-01T05:04:14.030,0.610,-0.028,-0.019,1.016
1567339454050,2019-09-01T05:04:14.050,0.630,-0.030,-0.020,1.013
1567339454069,2019-09-01T05:04:14.069,0.649,-0.028,-0.020,1.013
1567339454090,2019-09-01T05:04:14.090,0.670,-0.030,-0.021,1.014
1567339454110,2019-09-01T05:04:14.110,0.690,-0.031,-0.021,1.013
1567339454131,2019-09-01T05:04:14.131,0.711,-0.030,-0.021,1.013
1567339454151,2019-09-01T05:04:14.151,0.731,-0.029,-0.021,1.013
1567339454172,2019-09-01T05:04:14.172,0.752,-0.026,-0.021,1.014
