104210,160820,u
161228,164254,w
164288,166362,u
166668,168606,w
168606,266152,u
267002,272238,w
272272,297806,u
297908,310318,w
310352,311576,u
311780,313786,w
313786,314466,u
314568,315724,ss
316302,319328,p
319940,320144,u
320348,324360,w
324360,324938,u
325176,327386,w
327386,341156,u
341462,345848,w
345848,347616,u
348262,350608,p
352444,352920,p
354212,355606,u
355912,358462,w
358462,358938,u
372402,374816,u
375088,380324,w
380358,383520,u
383724,387124,w
387124,390150,u
390354,393006,w
393006,395828,u
396100,402662,w
402662,404940,u
405178,410618,w
410618,411536,u
411842,418302,ss
419730,423470,p
423572,427244,u
427516,429114,w
429148,435438,u
435608,441252,w
441252,446284,u
450670,512788,u
513060,519112,w
519180,526490,u
526728,547162,u
547468,548590,w
548590,551038,u
551208,556104,w
556172,557396,u
557566,561986,w
568072,590274,u
590682,593300,w
593300,594864,u
595000,595714,w
595714,607206,u
611864,618052,u
620262,623152,hs
623764,631142,hw
631176,656608,hs
657152,662320,hw
666808,668848,hs
669528,793900,hw
793900,796076,hs
796892,797946,hw
797946,824840,hs
825350,829906,hw
829974,832082,hs
832592,837522,hw
837692,853434,hs
856426,857616,u
857820,859860,w
859928,861866,u
862002,863940,w
863974,878288,u
878526,879172,w
879614,880566,u
881348,883456,p
885870,886720,u
896716,898756,u
899096,900048,w
900116,912458,u
912696,914022,w
914022,915348,u
915586,916436,w
916436,929594,u
929866,931668,w
931668,933062,u
934626,936020,u
936258,937482,w
937516,940338,u
942616,948022,hw
959854,1057876,sr
1087524,1087524,99
