epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1565459083127,2019-08-10T10:44:43.127,0.000,0.305,0.549,1.159
1565459083146,2019-08-10T10:44:43.146,0.019,0.244,0.427,2.500
1565459083167,2019-08-10T10:44:43.167,0.040,0.427,0.488,1.098
1565459083186,2019-08-10T10:44:43.186,0.059,0.610,0.427,1.220
1565459083206,2019-08-10T10:44:43.206,0.079,0.488,0.488,1.341
1565459083225,2019-08-10T10:44:43.225,0.098,0.366,0.488,1.280
1565459083246,2019-08-10T10:44:43.246,0.119,0.488,0.488,1.280
1565459083265,2019-08-10T10:44:43.265,0.138,0.549,0.488,1.280
1565459083285,2019-08-10T10:44:43.285,0.158,0.549,0.427,1.341
1565459083304,2019-08-10T10:44:43.304,0.177,0.488,0.427,1.341
1565459083323,2019-08-10T10:44:43.323,0.196,0.549,0.427,1.280
1565459083344,2019-08-10T10:44:43.344,0.217,0.610,0.488,1.220
1565459083363,2019-08-10T10:44:43.363,0.236,0.427,0.488,1.280
1565459083384,2019-08-10T10:44:43.384,0.257,0.488,0.488,1.220
1565459083403,2019-08-10T10:44:43.403,0.276,0.610,0.427,1.280
1565459083423,2019-08-10T10:44:43.423,0.296,0.488,0.427,1.280
1565459083442,2019-08-10T10:44:43.442,0.315,0.427,0.488,1.280
1565459083463,2019-08-10T10:44:43.463,0.336,0.488,0.488,1.280
1565459083482,2019-08-10T10:44:43.482,0.355,0.549,0.488,1.280
1565459083502,2019-08-10T10:44:43.502,0.375,0.549,0.549,1.220
1565459083521,2019-08-10T10:44:43.521,0.394,0.549,0.427,1.220
1565459083540,2019-08-10T10:44:43.540,0.413,0.488,0.488,1.280
1565459083561,2019-08-10T10:44:43.561,0.434,0.671,0.427,1.280
1565459083580,2019-08-10T10:44:43.580,0.453,0.427,0.427,1.280
1565459083600,2019-08-10T10:44:43.600,0.473,0.427,0.488,1.280
1565459083619,2019-08-10T10:44:43.619,0.492,0.488,0.366,1.341
1565459083640,2019-08-10T10:44:43.640,0.513,0.488,0.488,1.280
1565459083659,2019-08-10T10:44:43.659,0.532,0.610,0.488,1.280
1565459083679,2019-08-10T10:44:43.679,0.552,0.427,0.366,1.341
1565459083698,2019-08-10T10:44:43.698,0.571,0.549,0.488,1.280
1565459083718,2019-08-10T10:44:43.718,0.591,0.488,0.427,1.280
1565459083738,2019-08-10T10:44:43.738,0.611,0.427,0.488,1.341
1565459083757,2019-08-10T10:44:43.757,0.630,0.488,0.488,1.280
1565459083778,2019-08-10T10:44:43.778,0.651,0.427,0.549,1.280
1565459083797,2019-08-10T10:44:43.797,0.670,0.610,0.427,1.280
1565459083817,2019-08-10T10:44:43.817,0.690,0.427,0.488,1.280
1565459083836,2019-08-10T10:44:43.836,0.709,0.488,0.488,1.280
1565459083857,2019-08-10T10:44:43.857,0.730,0.427,0.488,1.280
1565459083876,2019-08-10T10:44:43.876,0.749,0.549,0.488,1.341
