epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1565459083107,2019-08-10T10:44:43.107,0.000,0.052,-0.051,1.007
1565459083127,2019-08-10T10:44:43.127,0.020,0.055,-0.052,1.014
1565459083146,2019-08-10T10:44:43.146,0.039,0.054,-0.053,1.011
1565459083167,2019-08-10T10:44:43.167,0.060,0.056,-0.053,1.011
1565459083186,2019-08-10T10:44:43.186,0.079,0.058,-0.052,1.013
1565459083206,2019-08-10T10:44:43.206,0.099,0.056,-0.051,1.011
1565459083225,2019-08-10T10:44:43.225,0.118,0.055,-0.052,1.012
1565459083246,2019-08-10T10:44:43.246,0.139,0.055,-0.053,1.013
1565459083265,2019-08-10T10:44:43.265,0.158,0.056,-0.052,1.014
1565459083284,2019-08-10T10:44:43.284,0.177,0.057,-0.050,1.012
1565459083304,2019-08-10T10:44:43.304,0.197,0.056,-0.051,1.012
1565459083323,2019-08-10T10:44:43.323,0.216,0.055,-0.052,1.012
1565459083344,2019-08-10T10:44:43.344,0.237,0.054,-0.051,1.012
1565459083363,2019-08-10T10:44:43.363,0.256,0.055,-0.052,1.013
1565459083384,2019-08-10T10:44:43.384,0.277,0.056,-0.053,1.011
1565459083403,2019-08-10T10:44:43.403,0.296,0.056,-0.051,1.013
1565459083423,2019-08-10T10:44:43.423,0.316,0.055,-0.049,1.012
1565459083442,2019-08-10T10:44:43.442,0.335,0.055,-0.052,1.010
1565459083463,2019-08-10T10:44:43.463,0.356,0.057,-0.053,1.012
1565459083482,2019-08-10T10:44:43.482,0.375,0.055,-0.052,1.012
1565459083501,2019-08-10T10:44:43.501,0.394,0.056,-0.050,1.011
1565459083521,2019-08-10T10:44:43.521,0.414,0.056,-0.051,1.014
1565459083540,2019-08-10T10:44:43.540,0.433,0.056,-0.052,1.015
1565459083561,2019-08-10T10:44:43.561,0.454,0.055,-0.051,1.012
1565459083580,2019-08-10T10:44:43.580,0.473,0.054,-0.051,1.012
1565459083600,2019-08-10T10:44:43.600,0.493,0.054,-0.051,1.013
1565459083619,2019-08-10T10:44:43.619,0.512,0.055,-0.052,1.012
1565459083640,2019-08-10T10:44:43.640,0.533,0.054,-0.053,1.010
1565459083659,2019-08-10T10:44:43.659,0.552,0.055,-0.050,1.013
1565459083679,2019-08-10T10:44:43.679,0.572,0.056,-0.051,1.014
1565459083698,2019-08-10T10:44:43.698,0.591,0.054,-0.051,1.014
1565459083718,2019-08-10T10:44:43.718,0.611,0.055,-0.052,1.012
1565459083738,2019-08-10T10:44:43.738,0.631,0.055,-0.054,1.012
1565459083757,2019-08-10T10:44:43.757,0.650,0.055,-0.052,1.012
1565459083778,2019-08-10T10:44:43.778,0.671,0.056,-0.052,1.014
1565459083797,2019-08-10T10:44:43.797,0.690,0.056,-0.052,1.015
1565459083817,2019-08-10T10:44:43.817,0.710,0.054,-0.052,1.013
1565459083836,2019-08-10T10:44:43.836,0.729,0.052,-0.053,1.013
1565459083857,2019-08-10T10:44:43.857,0.750,0.055,-0.053,1.013
1565459083876,2019-08-10T10:44:43.876,0.769,0.056,-0.052,1.013
1565459083896,2019-08-10T10:44:43.896,0.789,0.054,-0.050,1.014
1565459083915,2019-08-10T10:44:43.915,0.808,0.055,-0.051,1.014
1565459083934,2019-08-10T10:44:43.934,0.827,0.055,-0.052,1.013
1565459083955,2019-08-10T10:44:43.955,0.848,0.054,-0.051,1.013
1565459083974,2019-08-10T10:44:43.974,0.867,0.055,-0.051,1.014
1565459083994,2019-08-10T10:44:43.994,0.887,0.057,-0.050,1.012
1565459084013,2019-08-10T10:44:44.013,0.906,0.057,-0.050,1.013
1565459084034,2019-08-10T10:44:44.034,0.927,0.057,-0.056,1.015
1565459084053,2019-08-10T10:44:44.053,0.946,0.052,-0.048,1.012
1565459084073,2019-08-10T10:44:44.073,0.966,0.054,-0.053,1.017
1565459084093,2019-08-10T10:44:44.093,0.986,0.058,-0.057,1.017
1565459084113,2019-08-10T10:44:44.113,1.006,0.057,-0.048,1.015
1565459084132,2019-08-10T10:44:44.132,1.025,0.052,-0.058,1.008
1565459084151,2019-08-10T10:44:44.151,1.044,0.046,-0.044,1.015
1565459084172,2019-08-10T10:44:44.172,1.065,0.060,-0.043,1.015
1565459084191,2019-08-10T10:44:44.191,1.084,0.067,-0.061,1.013
1565459084211,2019-08-10T10:44:44.211,1.104,0.049,-0.032,1.009
1565459084230,2019-08-10T10:44:44.230,1.123,0.047,-0.053,1.012
1565459084251,2019-08-10T10:44:44.251,1.144,0.054,-0.072,1.015
1565459084270,2019-08-10T10:44:44.270,1.163,0.058,-0.042,1.015
1565459084290,2019-08-10T10:44:44.290,1.183,0.060,-0.055,1.014
1565459084309,2019-08-10T10:44:44.309,1.202,0.051,-0.030,1.009
1565459084330,2019-08-10T10:44:44.330,1.223,0.059,-0.055,1.020
1565459084349,2019-08-10T10:44:44.349,1.242,0.060,-0.077,1.010
1565459084368,2019-08-10T10:44:44.368,1.261,0.041,-0.030,1.009
1565459084388,2019-08-10T10:44:44.388,1.281,0.051,-0.053,1.011
1565459084407,2019-08-10T10:44:44.407,1.300,0.062,-0.055,1.013
1565459084428,2019-08-10T10:44:44.428,1.321,0.061,-0.052,1.015
1565459084447,2019-08-10T10:44:44.447,1.340,0.049,-0.053,1.013
1565459084468,2019-08-10T10:44:44.468,1.361,0.044,-0.039,1.007
1565459084487,2019-08-10T10:44:44.487,1.380,0.060,-0.067,1.015
1565459084507,2019-08-10T10:44:44.507,1.400,0.062,-0.059,1.017
1565459084526,2019-08-10T10:44:44.526,1.419,0.049,-0.034,1.007
1565459084547,2019-08-10T10:44:44.547,1.440,0.053,-0.044,1.014
1565459084566,2019-08-10T10:44:44.566,1.459,0.060,-0.064,1.017
1565459084585,2019-08-10T10:44:44.585,1.478,0.053,-0.056,1.015
1565459084605,2019-08-10T10:44:44.605,1.498,0.049,-0.051,1.013
1565459084624,2019-08-10T10:44:44.624,1.517,0.052,-0.043,1.010
1565459084645,2019-08-10T10:44:44.645,1.538,0.061,-0.051,1.014
1565459084664,2019-08-10T10:44:44.664,1.557,0.061,-0.063,1.017
1565459084684,2019-08-10T10:44:44.684,1.577,0.047,-0.042,1.006
